player_name,team_name,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,G13,G14,G15,G16,G17,total_points
A Kamboj,Chennai Super Kings,70.0,50.0,49.0,91.0,54.0,106.0,43.0,8.0,91.0,-2.0,64.0,-2.0,25.0,0.0,0.0,0.0,0.0,647.0
A Mhatre,Chennai Super Kings,2.0,107.0,5.0,86.0,62.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,313.0
AJ Hosein,Chennai Super Kings,0.0,0.0,0.0,10.0,31.0,0.0,148.0,23.0,0.0,43.0,-2.0,0.0,34.0,0.0,0.0,0.0,0.0,287.0
D Brevis,Chennai Super Kings,0.0,0.0,0.0,32.0,67.0,18.0,44.0,14.0,20.0,12.0,35.0,37.0,66.0,0.0,0.0,0.0,0.0,345.0
Gurjapneet Singh,Chennai Super Kings,0.0,0.0,0.0,37.0,12.0,37.0,43.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,166.0
J Overton,Chennai Super Kings,57.0,0.0,86.0,134.0,10.0,100.0,50.0,21.0,33.0,29.0,91.0,0.0,0.0,0.0,0.0,0.0,0.0,611.0
KK Ahmed,Chennai Super Kings,8.0,4.0,4.0,23.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0
Kartik Sharma,Chennai Super Kings,24.0,5.0,12.0,0.0,0.0,0.0,26.0,22.0,78.0,67.0,25.0,103.0,51.0,0.0,0.0,0.0,0.0,413.0
MJ Henry,Chennai Super Kings,4.0,64.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0
MW Short,Chennai Super Kings,6.0,0.0,0.0,0.0,0.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0
Mukesh Choudhary,Chennai Super Kings,0.0,0.0,0.0,0.0,0.0,52.0,45.0,0.0,4.0,37.0,0.0,41.0,62.0,0.0,0.0,0.0,0.0,241.0
Noor Ahmad,Chennai Super Kings,1.0,12.0,16.0,33.0,95.0,13.0,58.0,29.0,56.0,54.0,33.0,8.0,27.0,0.0,0.0,0.0,0.0,435.0
PR Veer,Chennai Super Kings,0.0,11.0,61.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,27.0,20.0,17.0,0.0,0.0,0.0,0.0,134.0
RD Chahar,Chennai Super Kings,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0
RD Gaikwad,Chennai Super Kings,7.0,40.0,13.0,20.0,20.0,44.0,35.0,100.0,98.0,25.0,61.0,19.0,19.0,0.0,0.0,0.0,0.0,501.0
RS Ghosh,Chennai Super Kings,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0
S Dube,Chennai Super Kings,12.0,64.0,55.0,34.0,34.0,30.0,9.0,31.0,4.0,0.0,23.0,53.0,35.0,0.0,0.0,0.0,0.0,384.0
SH Johnson,Chennai Super Kings,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,12.0,0.0,0.0,0.0,0.0,49.0
SN Khan,Chennai Super Kings,35.0,60.0,80.0,12.0,40.0,34.0,29.0,2.0,8.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,308.0
SV Samson,Chennai Super Kings,11.0,12.0,15.0,164.0,70.0,21.0,165.0,29.0,17.0,122.0,59.0,27.0,56.0,0.0,0.0,0.0,0.0,768.0
Urvil Patel,Chennai Super Kings,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,48.0,25.0,109.0,19.0,37.0,0.0,0.0,0.0,0.0,247.0
AR Patel,Delhi Capitals,39.0,41.0,4.0,30.0,89.0,27.0,27.0,2.0,37.0,33.0,46.0,94.0,70.0,0.0,0.0,0.0,0.0,539.0
Abishek Porel,Delhi Capitals,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,0.0,0.0,0.0,10.0,76.0,0.0,0.0,0.0,0.0,127.0
Ashutosh Sharma,Delhi Capitals,0.0,0.0,0.0,34.0,0.0,22.0,0.0,0.0,55.0,22.0,58.0,40.0,27.0,0.0,0.0,0.0,0.0,258.0
Auqib Nabi,Delhi Capitals,0.0,0.0,0.0,9.0,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,32.0
DA Miller,Delhi Capitals,12.0,29.0,64.0,24.0,53.0,2.0,7.0,26.0,0.0,0.0,0.0,88.0,23.0,0.0,0.0,0.0,0.0,328.0
KA Jamieson,Delhi Capitals,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0
KK Nair,Delhi Capitals,0.0,0.0,0.0,0.0,10.0,0.0,8.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0
KL Rahul,Delhi Capitals,10.0,5.0,129.0,32.0,97.0,56.0,212.0,5.0,109.0,30.0,35.0,15.0,77.0,0.0,0.0,0.0,0.0,812.0
Kuldeep Yadav,Delhi Capitals,70.0,2.0,36.0,4.0,62.0,-1.0,66.0,1.0,2.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,240.0
L Ngidi,Delhi Capitals,91.0,37.0,33.0,5.0,60.0,0.0,4.0,0.0,0.0,29.0,11.0,0.0,66.0,0.0,0.0,0.0,0.0,336.0
M Tiwari,Delhi Capitals,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.0,56.0,0.0,0.0,0.0,0.0,138.0
MA Starc,Delhi Capitals,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.0,4.0,12.0,48.0,126.0,0.0,0.0,0.0,0.0,279.0
Mukesh Kumar,Delhi Capitals,16.0,70.0,56.0,4.0,29.0,-2.0,-2.0,0.0,0.0,0.0,4.0,29.0,-2.0,0.0,0.0,0.0,0.0,202.0
N Rana,Delhi Capitals,23.0,10.0,26.0,0.0,0.0,94.0,128.0,5.0,54.0,21.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,374.0
P Nissanka,Delhi Capitals,5.0,62.0,63.0,72.0,13.0,14.0,17.0,0.0,92.0,28.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,445.0
