input_player_name,cricsheet_player_name
Virat Kohli,V Kohli
Sunil Narine,SP Narine
Ravindra Jadeja,RA Jadeja
Anshul Kamboj,A Kamboj
Travis Head,TM Head
Prasidh Krishna,M Prasidh Krishna
Marcus Stoinis,MP Stoinis
Rohit Sharma,RG Sharma
Salil Arora,S Arora
Matheesha Pathirana,M Pathirana
Eshan Malinga,E Malinga
Sai Sudharsan,B Sai Sudharsan
Axar Patel,AR Patel
Marco Jansen,M Jansen
Lungi Ngidi,L Ngidi
Cooper Connolly,C Connolly
Rishabh Pant,RR Pant
Nitish Kumar Reddy,Nithish Kumar Reddy
Quinton de Kock,Q de Kock
Xavier Bartlett,XC Bartlett
Digvesh Rathi,DS Rathi
Donovan Ferreira,D Ferreira
Josh Inglis,JP Inglis
Pathum Nissanka,P Nissanka
Aiden Markram,AK Markram
Varun Chakaravarthy,CV Varun
Tim David,TH David
Vaibhav Arora,VG Arora
Krunal Pandya,KH Pandya
Ayush Badoni,A Badoni
Jamie Overton,J Overton
Kagiso Rabada,K Rabada
Blessing Muzarabani,B Muzarabani
Sarfaraz Khan,SN Khan
Hardik Pandya,HH Pandya
Vaibhav Sooryavanshi,V Suryavanshi
Tristan Stubbs,T Stubbs
Heinrich Klaasen,H Klaasen
David Miller,DA Miller
Ajinkya Rahane,AM Rahane
Devdutt Padikkal,D Padikkal
Nitish Rana,N Rana
Surya Kumar Yadav,SA Yadav
Jasprit Bumrah,JJ Bumrah
Mitchell Marsh,MR Marsh
Shimron Hetmyer,SO Hetmyer
Prabhsimran Singh,P Simran Singh
Phil Salt,PD Salt
Jason Holder,JO Holder
Pat Cummins,PJ Cummins
Jofra Archer,JC Archer
Allah Ghazanfar,AM Ghazanfar
Cameron Green,C Green
Ruturaj Gaikwad,RD Gaikwad
Yashasvi Jaiswal,YBK Jaiswal
Riyan Parag,R Parag
Angkrish Raghuvanshi,A Raghuvanshi
Bhuvneshwar Kumar,B Kumar
Jos Buttler,JC Buttler
Yuzvendra Chahal,YS Chahal
Akeal Hosein,AJ Hosein
Josh Hazlewood,JR Hazlewood
Will Jacks,WG Jacks
Rajat Patidar,RM Patidar
Sanju Samson,SV Samson
Dewald Brevis,D Brevis
Shreyas Iyer,SS Iyer
Shivam Dube,S Dube
Vyshak Vijaykumar,Vijaykumar Vyshak
Jitesh Sharma,JM Sharma
Mitchell Starc,MA Starc
Rinku Singh,RK Singh
Mukul Choudhary,Mukesh Choudhary
Nandre Burger,N Burger
Harshal Patel,HV Patel
Sai Kishore,R Sai Kishore
Prashant Veer,PR Veer
Shahbaz Ahamad,Shahbaz Ahmed
Mitchell Santner,MJ Santner
Quinton De Kock,Q de Kock
Khaleel Ahmed,KK Ahmed
Trent Boult,TA Boult
Jacob Bethell,JG Bethell
Venkatesh Iyer,VR Iyer
Nicholas Pooran,N Pooran
Finn Allen,FH Allen
Glenn Phillips,GD Phillips
Mangesh Yadav,MP Yadav
Rahul Tewatia,R Tewatia
Sherfane Rutherford,SE Rutherford
Nehal Wadhera,N Wadhera
Ayush Mhatre,A Mhatre
Romario Shepherd,R Shepherd
Shahrukh Khan,M Shahrukh Khan
