player_name,team_name
A Badoni,Lucknow Super Giants
A Kamboj,Chennai Super Kings
A Mhatre,Chennai Super Kings
A Nortje,Lucknow Super Giants
A Raghuvanshi,Kolkata Knight Riders
AA Kulkarni,Lucknow Super Giants
AF Milne,Rajasthan Royals
AJ Hosein,Chennai Super Kings
AK Markram,Lucknow Super Giants
AM Ghazanfar,Mumbai Indians
AM Rahane,Kolkata Knight Riders
AR Patel,Delhi Capitals
AS Roy,Kolkata Knight Riders
Abdul Samad,Lucknow Super Giants
Abhinandan Singh,Royal Challengers Bengaluru
Abhishek Sharma,Sunrisers Hyderabad
Abishek Porel,Delhi Capitals
Akash Singh,Lucknow Super Giants
Akshat Raghuwanshi,Lucknow Super Giants
Aniket Verma,Sunrisers Hyderabad
Arjun Tendulkar,Lucknow Super Giants
Arshad Khan,Gujarat Titans
Arshdeep Singh,Punjab Kings
Ashok Sharma,Gujarat Titans
Ashutosh Sharma,Delhi Capitals
Ashwani Kumar,Mumbai Indians
Auqib Nabi,Delhi Capitals
Avesh Khan,Lucknow Super Giants
Azmatullah Omarzai,Punjab Kings
B Kumar,Royal Challengers Bengaluru
B Muzarabani,Kolkata Knight Riders
B Sai Sudharsan,Gujarat Titans
BJ Dwarshuis,Punjab Kings
Brijesh Sharma,Rajasthan Royals
C Bosch,Mumbai Indians
C Connolly,Punjab Kings
C Green,Kolkata Knight Riders
CV Varun,Kolkata Knight Riders
D Brevis,Chennai Super Kings
D Ferreira,Rajasthan Royals
D Madushanka,Sunrisers Hyderabad
D Padikkal,Royal Challengers Bengaluru
DA Miller,Delhi Capitals
DA Payne,Sunrisers Hyderabad
DL Chahar,Mumbai Indians
DS Rathi,Lucknow Super Giants
DV Malewar,Mumbai Indians
Dhruv Jurel,Rajasthan Royals
E Malinga,Sunrisers Hyderabad
FH Allen,Kolkata Knight Riders
GD Phillips,Gujarat Titans
GF Linde,Lucknow Super Giants
Gurjapneet Singh,Chennai Super Kings
H Klaasen,Sunrisers Hyderabad
HH Pandya,Mumbai Indians
HV Patel,Sunrisers Hyderabad
Harpreet Brar,Punjab Kings
Harsh Dubey,Sunrisers Hyderabad
Himmat Singh,Lucknow Super Giants
Ishan Kishan,Sunrisers Hyderabad
J Overton,Chennai Super Kings
JA Duffy,Royal Challengers Bengaluru
JC Archer,Rajasthan Royals
JC Buttler,Gujarat Titans
JD Unadkat,Sunrisers Hyderabad
JG Bethell,Royal Challengers Bengaluru
JJ Bumrah,Mumbai Indians
JM Cox,Royal Challengers Bengaluru
JM Sharma,Royal Challengers Bengaluru
JO Holder,Gujarat Titans
JP Inglis,Lucknow Super Giants
JR Hazlewood,Royal Challengers Bengaluru
K Rabada,Gujarat Titans
KA Jamieson,Delhi Capitals
KH Pandya,Royal Challengers Bengaluru
KK Ahmed,Chennai Super Kings
