match_number,match_date,team_name,team_game_number,player_name,points
10,2026-04-05,Lucknow Super Giants,2,A Badoni,17.0
10,2026-04-05,Lucknow Super Giants,2,AK Markram,75.0
10,2026-04-05,Lucknow Super Giants,2,Abdul Samad,24.0
10,2026-04-05,Lucknow Super Giants,2,Avesh Khan,62.0
10,2026-04-05,Lucknow Super Giants,2,DS Rathi,25.0
10,2026-04-05,Lucknow Super Giants,2,M Siddharth,37.0
10,2026-04-05,Lucknow Super Giants,2,MD Choudhary,6.0
10,2026-04-05,Lucknow Super Giants,2,MR Marsh,20.0
10,2026-04-05,Lucknow Super Giants,2,Mohammed Shami,60.0
10,2026-04-05,Lucknow Super Giants,2,N Pooran,5.0
10,2026-04-05,Lucknow Super Giants,2,Prince Yadav,78.0
10,2026-04-05,Lucknow Super Giants,2,RR Pant,119.0
10,2026-04-05,Sunrisers Hyderabad,3,Abhishek Sharma,2.0
10,2026-04-05,Sunrisers Hyderabad,3,Aniket Verma,6.0
10,2026-04-05,Sunrisers Hyderabad,3,E Malinga,29.0
10,2026-04-05,Sunrisers Hyderabad,3,H Klaasen,87.0
10,2026-04-05,Sunrisers Hyderabad,3,HV Patel,13.0
10,2026-04-05,Sunrisers Hyderabad,3,Harsh Dubey,58.0
10,2026-04-05,Sunrisers Hyderabad,3,Ishan Kishan,29.0
10,2026-04-05,Sunrisers Hyderabad,3,JD Unadkat,-2.0
10,2026-04-05,Sunrisers Hyderabad,3,LS Livingstone,34.0
10,2026-04-05,Sunrisers Hyderabad,3,Nithish Kumar Reddy,93.0
10,2026-04-05,Sunrisers Hyderabad,3,Shivang Kumar,35.0
10,2026-04-05,Sunrisers Hyderabad,3,TM Head,12.0
