owner_name,player_name,cricsheet_player_name,team_name,team_game_number,phase,points
Bhuvan,Eshan Malinga,E Malinga,Sunrisers Hyderabad,3,before,29.0
Bhuvan,Harshal Patel,HV Patel,Sunrisers Hyderabad,3,before,13.0
Bhuvan,Travis Head,TM Head,Sunrisers Hyderabad,3,before,12.0
Prabhanjan,Aniket Verma,Aniket Verma,Sunrisers Hyderabad,3,before,6.0
Prabhanjan,Digvesh Rathi,DS Rathi,Lucknow Super Giants,2,before,25.0
Prabhanjan,Nitish Kumar Reddy,Nithish Kumar Reddy,Sunrisers Hyderabad,3,before,93.0
Prabhanjan,Rishabh Pant,RR Pant,Lucknow Super Giants,2,before,119.0
Sailesh,Abhishek Sharma,Abhishek Sharma,Sunrisers Hyderabad,3,before,2.0
Sailesh,Aiden Markram,AK Markram,Lucknow Super Giants,2,before,75.0
Sailesh,Avesh Khan,Avesh Khan,Lucknow Super Giants,2,before,62.0
Sailesh,Ayush Badoni,A Badoni,Lucknow Super Giants,2,before,17.0
Sailesh,Nicholas Pooran,N Pooran,Lucknow Super Giants,2,before,5.0
Vaibhav,Heinrich Klaasen,H Klaasen,Sunrisers Hyderabad,3,before,87.0
Vaibhav,Ishan Kishan,Ishan Kishan,Sunrisers Hyderabad,3,before,29.0
Vaibhav,Mohammed Shami,Mohammed Shami,Lucknow Super Giants,2,before,60.0
Vamsi,Mitchell Marsh,MR Marsh,Lucknow Super Giants,2,before,20.0
