match_number,match_date,team_name,team_game_number,player_name,points
11,2026-04-05,Chennai Super Kings,3,A Kamboj,49.0
11,2026-04-05,Chennai Super Kings,3,A Mhatre,5.0
11,2026-04-05,Chennai Super Kings,3,J Overton,86.0
11,2026-04-05,Chennai Super Kings,3,KK Ahmed,4.0
11,2026-04-05,Chennai Super Kings,3,Kartik Sharma,12.0
11,2026-04-05,Chennai Super Kings,3,MJ Henry,2.0
11,2026-04-05,Chennai Super Kings,3,Noor Ahmad,16.0
11,2026-04-05,Chennai Super Kings,3,PR Veer,61.0
11,2026-04-05,Chennai Super Kings,3,RD Gaikwad,13.0
11,2026-04-05,Chennai Super Kings,3,S Dube,55.0
11,2026-04-05,Chennai Super Kings,3,SN Khan,80.0
11,2026-04-05,Chennai Super Kings,3,SV Samson,15.0
11,2026-04-05,Royal Challengers Bengaluru,2,Abhinandan Singh,62.0
11,2026-04-05,Royal Challengers Bengaluru,2,B Kumar,81.0
11,2026-04-05,Royal Challengers Bengaluru,2,D Padikkal,93.0
11,2026-04-05,Royal Challengers Bengaluru,2,JA Duffy,48.0
11,2026-04-05,Royal Challengers Bengaluru,2,JG Bethell,8.0
11,2026-04-05,Royal Challengers Bengaluru,2,JM Sharma,24.0
11,2026-04-05,Royal Challengers Bengaluru,2,KH Pandya,50.0
11,2026-04-05,Royal Challengers Bengaluru,2,PD Salt,73.0
11,2026-04-05,Royal Challengers Bengaluru,2,R Shepherd,4.0
11,2026-04-05,Royal Challengers Bengaluru,2,RM Patidar,91.0
11,2026-04-05,Royal Challengers Bengaluru,2,Suyash Sharma,33.0
11,2026-04-05,Royal Challengers Bengaluru,2,TH David,107.0
11,2026-04-05,Royal Challengers Bengaluru,2,V Kohli,48.0
