owner_name,player_name,cricsheet_player_name,team_name,team_game_number,phase,points
Bhuvan,Kartik Sharma,Kartik Sharma,Chennai Super Kings,3,before,12.0
Bhuvan,Prashant Veer,PR Veer,Chennai Super Kings,3,before,61.0
Bhuvan,Virat Kohli,V Kohli,Royal Challengers Bengaluru,2,before,48.0
Nishant,Ayush Mhatre,A Mhatre,Chennai Super Kings,3,before,5.0
Nishant,Jitesh Sharma,JM Sharma,Royal Challengers Bengaluru,2,before,24.0
Nishant,Romario Shepherd,R Shepherd,Royal Challengers Bengaluru,2,before,4.0
Nishant,Sanju Samson,SV Samson,Chennai Super Kings,3,before,15.0
Nishant,Shivam Dube,S Dube,Chennai Super Kings,3,before,55.0
Om,Bhuvneshwar Kumar,B Kumar,Royal Challengers Bengaluru,2,before,81.0
Om,Noor Ahmad,Noor Ahmad,Chennai Super Kings,3,before,16.0
Om,Ruturaj Gaikwad,RD Gaikwad,Chennai Super Kings,3,before,13.0
Prabhanjan,Khaleel Ahmed,KK Ahmed,Chennai Super Kings,3,before,4.0
Sailesh,Jacob Bethell,JG Bethell,Royal Challengers Bengaluru,2,before,8.0
Sailesh,Krunal Pandya,KH Pandya,Royal Challengers Bengaluru,2,before,50.0
Sailesh,Tim David,TH David,Royal Challengers Bengaluru,2,before,107.0
Vaibhav,Devdutt Padikkal,D Padikkal,Royal Challengers Bengaluru,2,before,93.0
Vaibhav,Rajat Patidar,RM Patidar,Royal Challengers Bengaluru,2,before,91.0
Vaibhav,Suyash Sharma,Suyash Sharma,Royal Challengers Bengaluru,2,before,33.0
Vamsi,Phil Salt,PD Salt,Royal Challengers Bengaluru,2,before,73.0
