match_number,match_date,team_name,team_game_number,player_name,points
12,2026-04-06,Kolkata Knight Riders,3,A Raghuvanshi,11.0
12,2026-04-06,Kolkata Knight Riders,3,AM Rahane,13.0
12,2026-04-06,Kolkata Knight Riders,3,AS Roy,4.0
12,2026-04-06,Kolkata Knight Riders,3,C Green,9.0
12,2026-04-06,Kolkata Knight Riders,3,FH Allen,11.0
12,2026-04-06,Kolkata Knight Riders,3,Kartik Tyagi,4.0
12,2026-04-06,Kolkata Knight Riders,3,Navdeep Saini,4.0
12,2026-04-06,Kolkata Knight Riders,3,R Powell,4.0
12,2026-04-06,Kolkata Knight Riders,3,RK Singh,4.0
12,2026-04-06,Kolkata Knight Riders,3,Ramandeep Singh,4.0
12,2026-04-06,Kolkata Knight Riders,3,VG Arora,4.0
12,2026-04-06,Punjab Kings,3,Arshdeep Singh,4.0
12,2026-04-06,Punjab Kings,3,C Connolly,4.0
12,2026-04-06,Punjab Kings,3,M Jansen,4.0
12,2026-04-06,Punjab Kings,3,MP Stoinis,4.0
12,2026-04-06,Punjab Kings,3,N Wadhera,4.0
12,2026-04-06,Punjab Kings,3,P Simran Singh,20.0
12,2026-04-06,Punjab Kings,3,SS Iyer,4.0
12,2026-04-06,Punjab Kings,3,Shashank Singh,4.0
12,2026-04-06,Punjab Kings,3,Vijaykumar Vyshak,4.0
12,2026-04-06,Punjab Kings,3,XC Bartlett,54.0
12,2026-04-06,Punjab Kings,3,YS Chahal,4.0
