owner_name,player_name,cricsheet_player_name,team_name,team_game_number,phase,points
Bhuvan,Marcus Stoinis,MP Stoinis,Punjab Kings,3,before,4.0
Nishant,Arshdeep Singh,Arshdeep Singh,Punjab Kings,3,before,4.0
Nishant,Nehal Wadhera,N Wadhera,Punjab Kings,3,before,4.0
Nishant,Rinku Singh,RK Singh,Kolkata Knight Riders,3,before,4.0
Nishant,Shreyas Iyer,SS Iyer,Punjab Kings,3,before,4.0
Om,Angkrish Raghuvanshi,A Raghuvanshi,Kolkata Knight Riders,3,before,11.0
Om,Cameron Green,C Green,Kolkata Knight Riders,3,before,9.0
Om,Yuzvendra Chahal,YS Chahal,Punjab Kings,3,before,4.0
Prabhanjan,Marco Jansen,M Jansen,Punjab Kings,3,before,4.0
Vaibhav,Ajinkya Rahane,AM Rahane,Kolkata Knight Riders,3,before,13.0
Vamsi,Finn Allen,FH Allen,Kolkata Knight Riders,3,before,11.0
Vamsi,Prabhsimran Singh,P Simran Singh,Punjab Kings,3,before,20.0
