match_number,match_date,team_name,team_game_number,player_name,points
13,2026-04-07,Mumbai Indians,3,AM Ghazanfar,60.0
13,2026-04-07,Mumbai Indians,3,DL Chahar,11.0
13,2026-04-07,Mumbai Indians,3,HH Pandya,15.0
13,2026-04-07,Mumbai Indians,3,JJ Bumrah,8.0
13,2026-04-07,Mumbai Indians,3,Naman Dhir,40.0
13,2026-04-07,Mumbai Indians,3,RD Rickelton,14.0
13,2026-04-07,Mumbai Indians,3,RG Sharma,9.0
13,2026-04-07,Mumbai Indians,3,SA Yadav,12.0
13,2026-04-07,Mumbai Indians,3,SE Rutherford,35.0
13,2026-04-07,Mumbai Indians,3,SN Thakur,32.0
13,2026-04-07,Mumbai Indians,3,TA Boult,5.0
13,2026-04-07,Mumbai Indians,3,Tilak Varma,38.0
13,2026-04-07,Rajasthan Royals,3,D Ferreira,4.0
13,2026-04-07,Rajasthan Royals,3,Dhruv Jurel,22.0
13,2026-04-07,Rajasthan Royals,3,JC Archer,49.0
13,2026-04-07,Rajasthan Royals,3,N Burger,52.0
13,2026-04-07,Rajasthan Royals,3,R Parag,35.0
13,2026-04-07,Rajasthan Royals,3,RA Jadeja,4.0
13,2026-04-07,Rajasthan Royals,3,Ravi Bishnoi,56.0
13,2026-04-07,Rajasthan Royals,3,SO Hetmyer,18.0
13,2026-04-07,Rajasthan Royals,3,Sandeep Sharma,70.0
13,2026-04-07,Rajasthan Royals,3,TU Deshpande,23.0
13,2026-04-07,Rajasthan Royals,3,V Suryavanshi,64.0
13,2026-04-07,Rajasthan Royals,3,YBK Jaiswal,121.0
