owner_name,player_name,cricsheet_player_name,team_name,team_game_number,phase,points
Bhuvan,Dhruv Jurel,Dhruv Jurel,Rajasthan Royals,3,before,22.0
Bhuvan,Ravindra Jadeja,RA Jadeja,Rajasthan Royals,3,before,4.0
Bhuvan,Rohit Sharma,RG Sharma,Mumbai Indians,3,before,9.0
Nishant,Nandre Burger,N Burger,Rajasthan Royals,3,before,52.0
Nishant,Sherfane Rutherford,SE Rutherford,Mumbai Indians,3,before,35.0
Om,Vaibhav Sooryavanshi,V Suryavanshi,Rajasthan Royals,3,before,64.0
Om,Yashasvi Jaiswal,YBK Jaiswal,Rajasthan Royals,3,before,121.0
Prabhanjan,Naman Dhir,Naman Dhir,Mumbai Indians,3,before,40.0
Prabhanjan,Trent Boult,TA Boult,Mumbai Indians,3,before,5.0
Vaibhav,Hardik Pandya,HH Pandya,Mumbai Indians,3,before,15.0
Vaibhav,Ravi Bishnoi,Ravi Bishnoi,Rajasthan Royals,3,before,56.0
Vaibhav,Riyan Parag,R Parag,Rajasthan Royals,3,before,35.0
Vamsi,Jasprit Bumrah,JJ Bumrah,Mumbai Indians,3,before,8.0
Vamsi,Jofra Archer,JC Archer,Rajasthan Royals,3,before,49.0
Vamsi,Sandeep Sharma,Sandeep Sharma,Rajasthan Royals,3,before,70.0
Vamsi,Shimron Hetmyer,SO Hetmyer,Rajasthan Royals,3,before,18.0
Vamsi,Surya Kumar Yadav,SA Yadav,Mumbai Indians,3,before,12.0
Vamsi,Tilak Varma,Tilak Varma,Mumbai Indians,3,before,38.0
