match_number,match_date,team_name,team_game_number,player_name,points
14,2026-04-08,Delhi Capitals,3,AR Patel,4.0
14,2026-04-08,Delhi Capitals,3,DA Miller,64.0
14,2026-04-08,Delhi Capitals,3,KL Rahul,129.0
14,2026-04-08,Delhi Capitals,3,Kuldeep Yadav,36.0
14,2026-04-08,Delhi Capitals,3,L Ngidi,33.0
14,2026-04-08,Delhi Capitals,3,Mukesh Kumar,56.0
14,2026-04-08,Delhi Capitals,3,N Rana,26.0
14,2026-04-08,Delhi Capitals,3,P Nissanka,63.0
14,2026-04-08,Delhi Capitals,3,Sameer Rizvi,2.0
14,2026-04-08,Delhi Capitals,3,T Natarajan,4.0
14,2026-04-08,Delhi Capitals,3,T Stubbs,11.0
14,2026-04-08,Delhi Capitals,3,V Nigam,18.0
14,2026-04-08,Gujarat Titans,3,Ashok Sharma,-2.0
14,2026-04-08,Gujarat Titans,3,B Sai Sudharsan,38.0
14,2026-04-08,Gujarat Titans,3,GD Phillips,29.0
14,2026-04-08,Gujarat Titans,3,JC Buttler,103.0
14,2026-04-08,Gujarat Titans,3,K Rabada,4.0
14,2026-04-08,Gujarat Titans,3,M Prasidh Krishna,48.0
14,2026-04-08,Gujarat Titans,3,M Shahrukh Khan,4.0
14,2026-04-08,Gujarat Titans,3,Mohammed Siraj,23.0
14,2026-04-08,Gujarat Titans,3,R Tewatia,13.0
14,2026-04-08,Gujarat Titans,3,Rashid Khan,97.0
14,2026-04-08,Gujarat Titans,3,Shubman Gill,108.0
14,2026-04-08,Gujarat Titans,3,Washington Sundar,83.0
