owner_name,player_name,cricsheet_player_name,team_name,team_game_number,phase,points
Bhuvan,Prasidh Krishna,M Prasidh Krishna,Gujarat Titans,3,before,48.0
Nishant,Mukesh Kumar,Mukesh Kumar,Delhi Capitals,3,before,56.0
Nishant,Shahrukh Khan,M Shahrukh Khan,Gujarat Titans,3,before,4.0
Nishant,Washington Sundar,Washington Sundar,Gujarat Titans,3,before,83.0
Om,Jos Buttler,JC Buttler,Gujarat Titans,3,before,103.0
Om,Mohammed Siraj,Mohammed Siraj,Gujarat Titans,3,before,23.0
Om,Rahul Tewatia,R Tewatia,Gujarat Titans,3,before,13.0
Prabhanjan,Axar Patel,AR Patel,Delhi Capitals,3,before,4.0
Prabhanjan,Lungi Ngidi,L Ngidi,Delhi Capitals,3,before,33.0
Prabhanjan,Pathum Nissanka,P Nissanka,Delhi Capitals,3,before,63.0
Prabhanjan,Sai Sudharsan,B Sai Sudharsan,Gujarat Titans,3,before,38.0
Sailesh,Kagiso Rabada,K Rabada,Gujarat Titans,3,before,4.0
Sailesh,Kuldeep Yadav,Kuldeep Yadav,Delhi Capitals,3,before,36.0
Sailesh,Rashid Khan,Rashid Khan,Gujarat Titans,3,before,97.0
Vaibhav,David Miller,DA Miller,Delhi Capitals,3,before,64.0
Vaibhav,Shubman Gill,Shubman Gill,Gujarat Titans,3,before,108.0
Vaibhav,Tristan Stubbs,T Stubbs,Delhi Capitals,3,before,11.0
Vamsi,Glenn Phillips,GD Phillips,Gujarat Titans,3,before,29.0
Vamsi,KL Rahul,KL Rahul,Delhi Capitals,3,before,129.0
