match_number,match_date,team_name,team_game_number,player_name,points
15,2026-04-09,Kolkata Knight Riders,4,A Raghuvanshi,72.0
15,2026-04-09,Kolkata Knight Riders,4,AM Rahane,63.0
15,2026-04-09,Kolkata Knight Riders,4,AS Roy,70.0
15,2026-04-09,Kolkata Knight Riders,4,C Green,66.0
15,2026-04-09,Kolkata Knight Riders,4,FH Allen,15.0
15,2026-04-09,Kolkata Knight Riders,4,Kartik Tyagi,35.0
15,2026-04-09,Kolkata Knight Riders,4,Navdeep Saini,-2.0
15,2026-04-09,Kolkata Knight Riders,4,R Powell,67.0
15,2026-04-09,Kolkata Knight Riders,4,RK Singh,16.0
15,2026-04-09,Kolkata Knight Riders,4,Ramandeep Singh,12.0
15,2026-04-09,Kolkata Knight Riders,4,SP Narine,35.0
15,2026-04-09,Kolkata Knight Riders,4,VG Arora,54.0
15,2026-04-09,Lucknow Super Giants,3,A Badoni,81.0
15,2026-04-09,Lucknow Super Giants,3,AK Markram,40.0
15,2026-04-09,Lucknow Super Giants,3,Abdul Samad,6.0
15,2026-04-09,Lucknow Super Giants,3,Avesh Khan,36.0
15,2026-04-09,Lucknow Super Giants,3,DS Rathi,39.0
15,2026-04-09,Lucknow Super Giants,3,M Siddharth,29.0
15,2026-04-09,Lucknow Super Giants,3,MD Choudhary,88.0
15,2026-04-09,Lucknow Super Giants,3,MR Marsh,24.0
15,2026-04-09,Lucknow Super Giants,3,Mohammed Shami,15.0
15,2026-04-09,Lucknow Super Giants,3,N Pooran,19.0
15,2026-04-09,Lucknow Super Giants,3,Prince Yadav,25.0
15,2026-04-09,Lucknow Super Giants,3,RR Pant,15.0
