match_number,match_date,team_name,team_game_number,player_name,points
16,2026-04-10,Rajasthan Royals,4,Brijesh Sharma,70.0
16,2026-04-10,Rajasthan Royals,4,D Ferreira,12.0
16,2026-04-10,Rajasthan Royals,4,Dhruv Jurel,121.0
16,2026-04-10,Rajasthan Royals,4,JC Archer,52.0
16,2026-04-10,Rajasthan Royals,4,N Burger,2.0
16,2026-04-10,Rajasthan Royals,4,R Parag,7.0
16,2026-04-10,Rajasthan Royals,4,RA Jadeja,56.0
16,2026-04-10,Rajasthan Royals,4,Ravi Bishnoi,62.0
16,2026-04-10,Rajasthan Royals,4,SO Hetmyer,30.0
16,2026-04-10,Rajasthan Royals,4,Sandeep Sharma,25.0
16,2026-04-10,Rajasthan Royals,4,V Suryavanshi,118.0
16,2026-04-10,Rajasthan Royals,4,YBK Jaiswal,21.0
16,2026-04-10,Royal Challengers Bengaluru,3,Abhinandan Singh,-2.0
16,2026-04-10,Royal Challengers Bengaluru,3,B Kumar,14.0
16,2026-04-10,Royal Challengers Bengaluru,3,D Padikkal,21.0
16,2026-04-10,Royal Challengers Bengaluru,3,JM Sharma,17.0
16,2026-04-10,Royal Challengers Bengaluru,3,JR Hazlewood,60.0
16,2026-04-10,Royal Challengers Bengaluru,3,KH Pandya,63.0
16,2026-04-10,Royal Challengers Bengaluru,3,PD Salt,2.0
16,2026-04-10,Royal Challengers Bengaluru,3,R Shepherd,36.0
16,2026-04-10,Royal Challengers Bengaluru,3,RM Patidar,91.0
16,2026-04-10,Royal Challengers Bengaluru,3,TH David,19.0
16,2026-04-10,Royal Challengers Bengaluru,3,V Kohli,61.0
16,2026-04-10,Royal Challengers Bengaluru,3,VR Iyer,44.0
