owner_name,player_name,cricsheet_player_name,team_name,team_game_number,phase,points
Bhuvan,Dhruv Jurel,Dhruv Jurel,Rajasthan Royals,4,before,121.0
Bhuvan,Ravindra Jadeja,RA Jadeja,Rajasthan Royals,4,before,56.0
Bhuvan,Virat Kohli,V Kohli,Royal Challengers Bengaluru,3,before,61.0
Nishant,Jitesh Sharma,JM Sharma,Royal Challengers Bengaluru,3,before,17.0
Nishant,Nandre Burger,N Burger,Rajasthan Royals,4,before,2.0
Nishant,Romario Shepherd,R Shepherd,Royal Challengers Bengaluru,3,before,36.0
Om,Bhuvneshwar Kumar,B Kumar,Royal Challengers Bengaluru,3,before,14.0
Om,Josh Hazlewood,JR Hazlewood,Royal Challengers Bengaluru,3,before,60.0
Om,Vaibhav Sooryavanshi,V Suryavanshi,Rajasthan Royals,4,before,118.0
Om,Yashasvi Jaiswal,YBK Jaiswal,Rajasthan Royals,4,before,21.0
Sailesh,Krunal Pandya,KH Pandya,Royal Challengers Bengaluru,3,before,63.0
Sailesh,Tim David,TH David,Royal Challengers Bengaluru,3,before,19.0
Sailesh,Venkatesh Iyer,VR Iyer,Royal Challengers Bengaluru,3,before,44.0
Vaibhav,Devdutt Padikkal,D Padikkal,Royal Challengers Bengaluru,3,before,21.0
Vaibhav,Rajat Patidar,RM Patidar,Royal Challengers Bengaluru,3,before,91.0
Vaibhav,Ravi Bishnoi,Ravi Bishnoi,Rajasthan Royals,4,before,62.0
Vaibhav,Riyan Parag,R Parag,Rajasthan Royals,4,before,7.0
Vamsi,Jofra Archer,JC Archer,Rajasthan Royals,4,before,52.0
Vamsi,Phil Salt,PD Salt,Royal Challengers Bengaluru,3,before,2.0
Vamsi,Sandeep Sharma,Sandeep Sharma,Rajasthan Royals,4,before,25.0
Vamsi,Shimron Hetmyer,SO Hetmyer,Rajasthan Royals,4,before,30.0
