owner_name,player_name,cricsheet_player_name,team_name,team_game_number,phase,points
Nishant,Ayush Mhatre,A Mhatre,Chennai Super Kings,4,before,86.0
Nishant,Dewald Brevis,D Brevis,Chennai Super Kings,4,before,32.0
Nishant,Mukesh Kumar,Mukesh Kumar,Delhi Capitals,4,before,4.0
Nishant,Sanju Samson,SV Samson,Chennai Super Kings,4,before,164.0
Nishant,Shivam Dube,S Dube,Chennai Super Kings,4,before,34.0
Om,Noor Ahmad,Noor Ahmad,Chennai Super Kings,4,before,33.0
Om,Ruturaj Gaikwad,RD Gaikwad,Chennai Super Kings,4,before,20.0
Prabhanjan,Ashutosh Sharma,Ashutosh Sharma,Delhi Capitals,4,before,34.0
Prabhanjan,Axar Patel,AR Patel,Delhi Capitals,4,before,30.0
Prabhanjan,Khaleel Ahmed,KK Ahmed,Chennai Super Kings,4,before,23.0
Prabhanjan,Lungi Ngidi,L Ngidi,Delhi Capitals,4,before,5.0
Prabhanjan,Pathum Nissanka,P Nissanka,Delhi Capitals,4,before,72.0
Sailesh,Kuldeep Yadav,Kuldeep Yadav,Delhi Capitals,4,before,4.0
Vaibhav,David Miller,DA Miller,Delhi Capitals,4,before,24.0
Vaibhav,Tristan Stubbs,T Stubbs,Delhi Capitals,4,before,86.0
Vamsi,KL Rahul,KL Rahul,Delhi Capitals,4,before,32.0
