match_number,match_date,team_name,team_game_number,player_name,points
19,2026-04-12,Gujarat Titans,4,Ashok Sharma,54.0
19,2026-04-12,Gujarat Titans,4,B Sai Sudharsan,22.0
19,2026-04-12,Gujarat Titans,4,GD Phillips,20.0
19,2026-04-12,Gujarat Titans,4,JC Buttler,95.0
19,2026-04-12,Gujarat Titans,4,K Rabada,23.0
19,2026-04-12,Gujarat Titans,4,M Prasidh Krishna,114.0
19,2026-04-12,Gujarat Titans,4,M Shahrukh Khan,12.0
19,2026-04-12,Gujarat Titans,4,Mohammed Siraj,35.0
19,2026-04-12,Gujarat Titans,4,R Tewatia,23.0
19,2026-04-12,Gujarat Titans,4,Rashid Khan,6.0
19,2026-04-12,Gujarat Titans,4,Shubman Gill,94.0
19,2026-04-12,Gujarat Titans,4,Washington Sundar,41.0
19,2026-04-12,Lucknow Super Giants,4,A Badoni,14.0
19,2026-04-12,Lucknow Super Giants,4,AK Markram,55.0
19,2026-04-12,Lucknow Super Giants,4,Abdul Samad,24.0
19,2026-04-12,Lucknow Super Giants,4,Avesh Khan,13.0
19,2026-04-12,Lucknow Super Giants,4,DS Rathi,29.0
19,2026-04-12,Lucknow Super Giants,4,GF Linde,27.0
19,2026-04-12,Lucknow Super Giants,4,MD Choudhary,25.0
19,2026-04-12,Lucknow Super Giants,4,MR Marsh,18.0
19,2026-04-12,Lucknow Super Giants,4,Mohammed Shami,44.0
19,2026-04-12,Lucknow Super Giants,4,N Pooran,27.0
19,2026-04-12,Lucknow Super Giants,4,Prince Yadav,29.0
19,2026-04-12,Lucknow Super Giants,4,RR Pant,38.0
