owner_name,player_name,cricsheet_player_name,team_name,team_game_number,phase,points
Bhuvan,Prasidh Krishna,M Prasidh Krishna,Gujarat Titans,4,before,114.0
Nishant,Shahrukh Khan,M Shahrukh Khan,Gujarat Titans,4,before,12.0
Nishant,Washington Sundar,Washington Sundar,Gujarat Titans,4,before,41.0
Om,Jos Buttler,JC Buttler,Gujarat Titans,4,before,95.0
Om,Mohammed Siraj,Mohammed Siraj,Gujarat Titans,4,before,35.0
Om,Rahul Tewatia,R Tewatia,Gujarat Titans,4,before,23.0
Prabhanjan,Digvesh Rathi,DS Rathi,Lucknow Super Giants,4,before,29.0
Prabhanjan,Rishabh Pant,RR Pant,Lucknow Super Giants,4,before,38.0
Prabhanjan,Sai Sudharsan,B Sai Sudharsan,Gujarat Titans,4,before,22.0
Sailesh,Aiden Markram,AK Markram,Lucknow Super Giants,4,before,55.0
Sailesh,Avesh Khan,Avesh Khan,Lucknow Super Giants,4,before,13.0
Sailesh,Ayush Badoni,A Badoni,Lucknow Super Giants,4,before,14.0
Sailesh,Kagiso Rabada,K Rabada,Gujarat Titans,4,before,23.0
Sailesh,Nicholas Pooran,N Pooran,Lucknow Super Giants,4,before,27.0
Sailesh,Rashid Khan,Rashid Khan,Gujarat Titans,4,before,6.0
Vaibhav,Mohammed Shami,Mohammed Shami,Lucknow Super Giants,4,before,44.0
Vaibhav,Shubman Gill,Shubman Gill,Gujarat Titans,4,before,94.0
Vamsi,Glenn Phillips,GD Phillips,Gujarat Titans,4,before,20.0
Vamsi,Mitchell Marsh,MR Marsh,Lucknow Super Giants,4,before,18.0
