owner_name,player_name,cricsheet_player_name,team_name,team_game_number,phase,points
Bhuvan,Eshan Malinga,E Malinga,Sunrisers Hyderabad,1,before,-2.0
Bhuvan,Harshal Patel,HV Patel,Sunrisers Hyderabad,1,before,-4.0
Bhuvan,Salil Arora,S Arora,Sunrisers Hyderabad,1,before,15.0
Bhuvan,Travis Head,TM Head,Sunrisers Hyderabad,1,before,17.0
Bhuvan,Virat Kohli,V Kohli,Royal Challengers Bengaluru,1,before,110.0
Nishant,Jitesh Sharma,JM Sharma,Royal Challengers Bengaluru,1,before,10.0
Nishant,Romario Shepherd,R Shepherd,Royal Challengers Bengaluru,1,before,77.0
Om,Bhuvneshwar Kumar,B Kumar,Royal Challengers Bengaluru,1,before,29.0
Prabhanjan,Aniket Verma,Aniket Verma,Sunrisers Hyderabad,1,before,68.0
Prabhanjan,Nitish Kumar Reddy,Nithish Kumar Reddy,Sunrisers Hyderabad,1,before,5.0
Sailesh,Abhishek Sharma,Abhishek Sharma,Sunrisers Hyderabad,1,before,13.0
Sailesh,Krunal Pandya,KH Pandya,Royal Challengers Bengaluru,1,before,-2.0
Sailesh,Tim David,TH David,Royal Challengers Bengaluru,1,before,27.0
Vaibhav,Devdutt Padikkal,D Padikkal,Royal Challengers Bengaluru,1,before,122.0
Vaibhav,Heinrich Klaasen,H Klaasen,Sunrisers Hyderabad,1,before,61.0
Vaibhav,Ishan Kishan,Ishan Kishan,Sunrisers Hyderabad,1,before,116.0
Vaibhav,Rajat Patidar,RM Patidar,Royal Challengers Bengaluru,1,before,53.0
Vaibhav,Suyash Sharma,Suyash Sharma,Royal Challengers Bengaluru,1,before,29.0
Vamsi,Phil Salt,PD Salt,Royal Challengers Bengaluru,1,before,42.0
