match_number,match_date,team_name,team_game_number,player_name,points
20,2026-04-12,Mumbai Indians,4,HH Pandya,95.0
20,2026-04-12,Mumbai Indians,4,JJ Bumrah,4.0
20,2026-04-12,Mumbai Indians,4,M Markande,-2.0
20,2026-04-12,Mumbai Indians,4,MJ Santner,36.0
20,2026-04-12,Mumbai Indians,4,Naman Dhir,5.0
20,2026-04-12,Mumbai Indians,4,RD Rickelton,58.0
20,2026-04-12,Mumbai Indians,4,RG Sharma,29.0
20,2026-04-12,Mumbai Indians,4,SA Yadav,58.0
20,2026-04-12,Mumbai Indians,4,SE Rutherford,108.0
20,2026-04-12,Mumbai Indians,4,SN Thakur,23.0
20,2026-04-12,Mumbai Indians,4,TA Boult,31.0
20,2026-04-12,Mumbai Indians,4,Tilak Varma,13.0
20,2026-04-12,Royal Challengers Bengaluru,4,B Kumar,12.0
20,2026-04-12,Royal Challengers Bengaluru,4,D Padikkal,4.0
20,2026-04-12,Royal Challengers Bengaluru,4,JA Duffy,31.0
20,2026-04-12,Royal Challengers Bengaluru,4,JM Sharma,15.0
20,2026-04-12,Royal Challengers Bengaluru,4,KH Pandya,31.0
20,2026-04-12,Royal Challengers Bengaluru,4,PD Salt,114.0
20,2026-04-12,Royal Challengers Bengaluru,4,R Shepherd,14.0
20,2026-04-12,Royal Challengers Bengaluru,4,RM Patidar,93.0
20,2026-04-12,Royal Challengers Bengaluru,4,Rasikh Salam,37.0
20,2026-04-12,Royal Challengers Bengaluru,4,Suyash Sharma,50.0
20,2026-04-12,Royal Challengers Bengaluru,4,TH David,56.0
20,2026-04-12,Royal Challengers Bengaluru,4,V Kohli,71.0
