owner_name,player_name,cricsheet_player_name,team_name,team_game_number,phase,points
Bhuvan,Rohit Sharma,RG Sharma,Mumbai Indians,4,before,29.0
Bhuvan,Virat Kohli,V Kohli,Royal Challengers Bengaluru,4,before,71.0
Nishant,Jitesh Sharma,JM Sharma,Royal Challengers Bengaluru,4,before,15.0
Nishant,Romario Shepherd,R Shepherd,Royal Challengers Bengaluru,4,before,14.0
Nishant,Sherfane Rutherford,SE Rutherford,Mumbai Indians,4,before,108.0
Om,Bhuvneshwar Kumar,B Kumar,Royal Challengers Bengaluru,4,before,12.0
Prabhanjan,Mitchell Santner,MJ Santner,Mumbai Indians,4,before,36.0
Prabhanjan,Naman Dhir,Naman Dhir,Mumbai Indians,4,before,5.0
Prabhanjan,Trent Boult,TA Boult,Mumbai Indians,4,before,31.0
Sailesh,Krunal Pandya,KH Pandya,Royal Challengers Bengaluru,4,before,31.0
Sailesh,Tim David,TH David,Royal Challengers Bengaluru,4,before,56.0
Vaibhav,Devdutt Padikkal,D Padikkal,Royal Challengers Bengaluru,4,before,4.0
Vaibhav,Hardik Pandya,HH Pandya,Mumbai Indians,4,before,95.0
Vaibhav,Rajat Patidar,RM Patidar,Royal Challengers Bengaluru,4,before,93.0
Vaibhav,Suyash Sharma,Suyash Sharma,Royal Challengers Bengaluru,4,before,50.0
Vamsi,Jasprit Bumrah,JJ Bumrah,Mumbai Indians,4,before,4.0
Vamsi,Phil Salt,PD Salt,Royal Challengers Bengaluru,4,before,114.0
Vamsi,Surya Kumar Yadav,SA Yadav,Mumbai Indians,4,before,58.0
Vamsi,Tilak Varma,Tilak Varma,Mumbai Indians,4,before,13.0
