match_number,match_date,team_name,team_game_number,player_name,points
21,2026-04-13,Rajasthan Royals,5,D Ferreira,107.0
21,2026-04-13,Rajasthan Royals,5,Dhruv Jurel,16.0
21,2026-04-13,Rajasthan Royals,5,JC Archer,56.0
21,2026-04-13,Rajasthan Royals,5,LG Pretorius,2.0
21,2026-04-13,Rajasthan Royals,5,N Burger,7.0
21,2026-04-13,Rajasthan Royals,5,R Parag,42.0
21,2026-04-13,Rajasthan Royals,5,RA Jadeja,60.0
21,2026-04-13,Rajasthan Royals,5,Ravi Bishnoi,6.0
21,2026-04-13,Rajasthan Royals,5,Sandeep Sharma,31.0
21,2026-04-13,Rajasthan Royals,5,TU Deshpande,66.0
21,2026-04-13,Rajasthan Royals,5,V Suryavanshi,2.0
21,2026-04-13,Rajasthan Royals,5,YBK Jaiswal,5.0
21,2026-04-13,Sunrisers Hyderabad,5,Abhishek Sharma,10.0
21,2026-04-13,Sunrisers Hyderabad,5,Aniket Verma,11.0
21,2026-04-13,Sunrisers Hyderabad,5,E Malinga,54.0
21,2026-04-13,Sunrisers Hyderabad,5,H Klaasen,59.0
21,2026-04-13,Sunrisers Hyderabad,5,Harsh Dubey,2.0
21,2026-04-13,Sunrisers Hyderabad,5,Ishan Kishan,145.0
21,2026-04-13,Sunrisers Hyderabad,5,Nithish Kumar Reddy,62.0
21,2026-04-13,Sunrisers Hyderabad,5,PP Hinge,128.0
21,2026-04-13,Sunrisers Hyderabad,5,S Arora,56.0
21,2026-04-13,Sunrisers Hyderabad,5,Sakib Hussain,124.0
21,2026-04-13,Sunrisers Hyderabad,5,Shivang Kumar,4.0
21,2026-04-13,Sunrisers Hyderabad,5,TM Head,25.0
