owner_name,player_name,cricsheet_player_name,team_name,team_game_number,phase,points
Bhuvan,Dhruv Jurel,Dhruv Jurel,Rajasthan Royals,5,before,16.0
Bhuvan,Eshan Malinga,E Malinga,Sunrisers Hyderabad,5,before,54.0
Bhuvan,Ravindra Jadeja,RA Jadeja,Rajasthan Royals,5,before,60.0
Bhuvan,Salil Arora,S Arora,Sunrisers Hyderabad,5,before,56.0
Bhuvan,Travis Head,TM Head,Sunrisers Hyderabad,5,before,25.0
Nishant,Nandre Burger,N Burger,Rajasthan Royals,5,before,7.0
Om,Vaibhav Sooryavanshi,V Suryavanshi,Rajasthan Royals,5,before,2.0
Om,Yashasvi Jaiswal,YBK Jaiswal,Rajasthan Royals,5,before,5.0
Prabhanjan,Aniket Verma,Aniket Verma,Sunrisers Hyderabad,5,before,11.0
Prabhanjan,Nitish Kumar Reddy,Nithish Kumar Reddy,Sunrisers Hyderabad,5,before,62.0
Sailesh,Abhishek Sharma,Abhishek Sharma,Sunrisers Hyderabad,5,before,10.0
Vaibhav,Heinrich Klaasen,H Klaasen,Sunrisers Hyderabad,5,before,59.0
Vaibhav,Ishan Kishan,Ishan Kishan,Sunrisers Hyderabad,5,before,145.0
Vaibhav,Ravi Bishnoi,Ravi Bishnoi,Rajasthan Royals,5,before,6.0
Vaibhav,Riyan Parag,R Parag,Rajasthan Royals,5,before,42.0
Vamsi,Jofra Archer,JC Archer,Rajasthan Royals,5,before,56.0
Vamsi,Sandeep Sharma,Sandeep Sharma,Rajasthan Royals,5,before,31.0
