match_number,match_date,team_name,team_game_number,player_name,points
22,2026-04-14,Chennai Super Kings,5,A Kamboj,54.0
22,2026-04-14,Chennai Super Kings,5,A Mhatre,62.0
22,2026-04-14,Chennai Super Kings,5,AJ Hosein,31.0
22,2026-04-14,Chennai Super Kings,5,D Brevis,67.0
22,2026-04-14,Chennai Super Kings,5,Gurjapneet Singh,12.0
22,2026-04-14,Chennai Super Kings,5,J Overton,10.0
22,2026-04-14,Chennai Super Kings,5,KK Ahmed,31.0
22,2026-04-14,Chennai Super Kings,5,Noor Ahmad,95.0
22,2026-04-14,Chennai Super Kings,5,RD Gaikwad,20.0
22,2026-04-14,Chennai Super Kings,5,S Dube,34.0
22,2026-04-14,Chennai Super Kings,5,SN Khan,40.0
22,2026-04-14,Chennai Super Kings,5,SV Samson,70.0
22,2026-04-14,Kolkata Knight Riders,5,A Raghuvanshi,38.0
22,2026-04-14,Kolkata Knight Riders,5,AM Rahane,36.0
22,2026-04-14,Kolkata Knight Riders,5,AS Roy,32.0
22,2026-04-14,Kolkata Knight Riders,5,C Green,-4.0
22,2026-04-14,Kolkata Knight Riders,5,CV Varun,4.0
22,2026-04-14,Kolkata Knight Riders,5,FH Allen,5.0
22,2026-04-14,Kolkata Knight Riders,5,Kartik Tyagi,62.0
22,2026-04-14,Kolkata Knight Riders,5,R Powell,54.0
22,2026-04-14,Kolkata Knight Riders,5,RK Singh,6.0
22,2026-04-14,Kolkata Knight Riders,5,Ramandeep Singh,61.0
22,2026-04-14,Kolkata Knight Riders,5,SP Narine,73.0
22,2026-04-14,Kolkata Knight Riders,5,VG Arora,31.0
