owner_name,player_name,cricsheet_player_name,team_name,team_game_number,phase,points
Bhuvan,Sunil Narine,SP Narine,Kolkata Knight Riders,5,before,73.0
Nishant,Ayush Mhatre,A Mhatre,Chennai Super Kings,5,before,62.0
Nishant,Dewald Brevis,D Brevis,Chennai Super Kings,5,before,67.0
Nishant,Rinku Singh,RK Singh,Kolkata Knight Riders,5,before,6.0
Nishant,Sanju Samson,SV Samson,Chennai Super Kings,5,before,70.0
Nishant,Shivam Dube,S Dube,Chennai Super Kings,5,before,34.0
Om,Angkrish Raghuvanshi,A Raghuvanshi,Kolkata Knight Riders,5,before,38.0
Om,Cameron Green,C Green,Kolkata Knight Riders,5,before,-4.0
Om,Noor Ahmad,Noor Ahmad,Chennai Super Kings,5,before,95.0
Om,Ruturaj Gaikwad,RD Gaikwad,Chennai Super Kings,5,before,20.0
Prabhanjan,Khaleel Ahmed,KK Ahmed,Chennai Super Kings,5,before,31.0
Sailesh,Varun Chakaravarthy,CV Varun,Kolkata Knight Riders,5,before,4.0
Vaibhav,Ajinkya Rahane,AM Rahane,Kolkata Knight Riders,5,before,36.0
Vamsi,Finn Allen,FH Allen,Kolkata Knight Riders,5,before,5.0
