owner_name,player_name,cricsheet_player_name,team_name,team_game_number,phase,points
Bhuvan,Virat Kohli,V Kohli,Royal Challengers Bengaluru,5,before,67.0
Nishant,Jitesh Sharma,JM Sharma,Royal Challengers Bengaluru,5,before,41.0
Nishant,Romario Shepherd,R Shepherd,Royal Challengers Bengaluru,5,before,21.0
Om,Bhuvneshwar Kumar,B Kumar,Royal Challengers Bengaluru,5,before,93.0
Om,Josh Hazlewood,JR Hazlewood,Royal Challengers Bengaluru,5,before,43.0
Prabhanjan,Digvesh Rathi,DS Rathi,Lucknow Super Giants,5,before,6.0
Prabhanjan,Rishabh Pant,RR Pant,Lucknow Super Giants,5,before,5.0
Sailesh,Aiden Markram,AK Markram,Lucknow Super Giants,5,before,18.0
Sailesh,Avesh Khan,Avesh Khan,Lucknow Super Giants,5,before,59.0
Sailesh,Ayush Badoni,A Badoni,Lucknow Super Giants,5,before,56.0
Sailesh,Krunal Pandya,KH Pandya,Royal Challengers Bengaluru,5,before,62.0
Sailesh,Nicholas Pooran,N Pooran,Lucknow Super Giants,5,before,13.0
Sailesh,Tim David,TH David,Royal Challengers Bengaluru,5,before,29.0
Vaibhav,Devdutt Padikkal,D Padikkal,Royal Challengers Bengaluru,5,before,23.0
Vaibhav,Mohammed Shami,Mohammed Shami,Lucknow Super Giants,5,before,0.0
Vaibhav,Rajat Patidar,RM Patidar,Royal Challengers Bengaluru,5,before,52.0
Vaibhav,Suyash Sharma,Suyash Sharma,Royal Challengers Bengaluru,5,before,4.0
Vamsi,Mitchell Marsh,MR Marsh,Lucknow Super Giants,5,before,55.0
Vamsi,Phil Salt,PD Salt,Royal Challengers Bengaluru,5,before,20.0
