match_number,match_date,team_name,team_game_number,player_name,points
25,2026-04-17,Gujarat Titans,5,Ashok Sharma,50.0
25,2026-04-17,Gujarat Titans,5,B Sai Sudharsan,33.0
25,2026-04-17,Gujarat Titans,5,GD Phillips,41.0
25,2026-04-17,Gujarat Titans,5,JC Buttler,81.0
25,2026-04-17,Gujarat Titans,5,K Rabada,91.0
25,2026-04-17,Gujarat Titans,5,M Prasidh Krishna,35.0
25,2026-04-17,Gujarat Titans,5,M Shahrukh Khan,7.0
25,2026-04-17,Gujarat Titans,5,Mohammed Siraj,74.0
25,2026-04-17,Gujarat Titans,5,R Tewatia,11.0
25,2026-04-17,Gujarat Titans,5,Rashid Khan,27.0
25,2026-04-17,Gujarat Titans,5,Shubman Gill,120.0
25,2026-04-17,Gujarat Titans,5,Washington Sundar,18.0
25,2026-04-17,Kolkata Knight Riders,6,A Raghuvanshi,14.0
25,2026-04-17,Kolkata Knight Riders,6,AM Rahane,2.0
25,2026-04-17,Kolkata Knight Riders,6,AS Roy,8.0
25,2026-04-17,Kolkata Knight Riders,6,C Green,124.0
25,2026-04-17,Kolkata Knight Riders,6,CV Varun,54.0
25,2026-04-17,Kolkata Knight Riders,6,Kartik Tyagi,26.0
25,2026-04-17,Kolkata Knight Riders,6,R Powell,39.0
25,2026-04-17,Kolkata Knight Riders,6,RK Singh,13.0
25,2026-04-17,Kolkata Knight Riders,6,Ramandeep Singh,50.0
25,2026-04-17,Kolkata Knight Riders,6,SP Narine,29.0
25,2026-04-17,Kolkata Knight Riders,6,TL Seifert,29.0
25,2026-04-17,Kolkata Knight Riders,6,VG Arora,29.0
