match_number,match_date,team_name,team_game_number,player_name,points
26,2026-04-18,Delhi Capitals,5,AR Patel,89.0
26,2026-04-18,Delhi Capitals,5,Auqib Nabi,0.0
26,2026-04-18,Delhi Capitals,5,DA Miller,53.0
26,2026-04-18,Delhi Capitals,5,KK Nair,10.0
26,2026-04-18,Delhi Capitals,5,KL Rahul,97.0
26,2026-04-18,Delhi Capitals,5,Kuldeep Yadav,62.0
26,2026-04-18,Delhi Capitals,5,L Ngidi,60.0
26,2026-04-18,Delhi Capitals,5,Mukesh Kumar,29.0
26,2026-04-18,Delhi Capitals,5,P Nissanka,13.0
26,2026-04-18,Delhi Capitals,5,Sameer Rizvi,6.0
26,2026-04-18,Delhi Capitals,5,T Natarajan,12.0
26,2026-04-18,Delhi Capitals,5,T Stubbs,86.0
26,2026-04-18,Royal Challengers Bengaluru,6,B Kumar,96.0
26,2026-04-18,Royal Challengers Bengaluru,6,D Padikkal,27.0
26,2026-04-18,Royal Challengers Bengaluru,6,JM Sharma,25.0
26,2026-04-18,Royal Challengers Bengaluru,6,JR Hazlewood,4.0
26,2026-04-18,Royal Challengers Bengaluru,6,KH Pandya,47.0
26,2026-04-18,Royal Challengers Bengaluru,6,PD Salt,97.0
26,2026-04-18,Royal Challengers Bengaluru,6,R Shepherd,5.0
26,2026-04-18,Royal Challengers Bengaluru,6,RM Patidar,14.0
26,2026-04-18,Royal Challengers Bengaluru,6,Rasikh Salam,2.0
26,2026-04-18,Royal Challengers Bengaluru,6,Suyash Sharma,2.0
26,2026-04-18,Royal Challengers Bengaluru,6,TH David,39.0
26,2026-04-18,Royal Challengers Bengaluru,6,V Kohli,36.0
