owner_name,player_name,cricsheet_player_name,team_name,team_game_number,phase,points
Bhuvan,Eshan Malinga,E Malinga,Sunrisers Hyderabad,6,before,83.0
Bhuvan,Salil Arora,S Arora,Sunrisers Hyderabad,6,before,27.0
Bhuvan,Travis Head,TM Head,Sunrisers Hyderabad,6,before,32.0
Nishant,Ayush Mhatre,A Mhatre,Chennai Super Kings,6,before,51.0
Nishant,Dewald Brevis,D Brevis,Chennai Super Kings,6,before,18.0
Nishant,Sanju Samson,SV Samson,Chennai Super Kings,6,before,21.0
Nishant,Shivam Dube,S Dube,Chennai Super Kings,6,before,30.0
Om,Noor Ahmad,Noor Ahmad,Chennai Super Kings,6,before,13.0
Om,Ruturaj Gaikwad,RD Gaikwad,Chennai Super Kings,6,before,44.0
Prabhanjan,Aniket Verma,Aniket Verma,Sunrisers Hyderabad,6,before,14.0
Prabhanjan,Nitish Kumar Reddy,Nithish Kumar Reddy,Sunrisers Hyderabad,6,before,76.0
Sailesh,Abhishek Sharma,Abhishek Sharma,Sunrisers Hyderabad,6,before,91.0
Vaibhav,Heinrich Klaasen,H Klaasen,Sunrisers Hyderabad,6,before,101.0
Vaibhav,Ishan Kishan,Ishan Kishan,Sunrisers Hyderabad,6,before,2.0
