match_number,match_date,team_name,team_game_number,player_name,points
29,2026-04-19,Lucknow Super Giants,6,A Badoni,54.0
29,2026-04-19,Lucknow Super Giants,6,AK Markram,73.0
29,2026-04-19,Lucknow Super Giants,6,Avesh Khan,-2.0
29,2026-04-19,Lucknow Super Giants,6,Himmat Singh,5.0
29,2026-04-19,Lucknow Super Giants,6,M Siddharth,58.0
29,2026-04-19,Lucknow Super Giants,6,MD Choudhary,28.0
29,2026-04-19,Lucknow Super Giants,6,MR Marsh,73.0
29,2026-04-19,Lucknow Super Giants,6,Mohammed Shami,31.0
29,2026-04-19,Lucknow Super Giants,6,Mohsin Khan,27.0
29,2026-04-19,Lucknow Super Giants,6,N Pooran,34.0
29,2026-04-19,Lucknow Super Giants,6,Prince Yadav,56.0
29,2026-04-19,Lucknow Super Giants,6,RR Pant,66.0
29,2026-04-19,Punjab Kings,6,Arshdeep Singh,27.0
29,2026-04-19,Punjab Kings,6,C Connolly,127.0
29,2026-04-19,Punjab Kings,6,M Jansen,55.0
29,2026-04-19,Punjab Kings,6,MP Stoinis,53.0
29,2026-04-19,Punjab Kings,6,N Wadhera,20.0
29,2026-04-19,Punjab Kings,6,P Simran Singh,10.0
29,2026-04-19,Punjab Kings,6,Priyansh Arya,133.0
29,2026-04-19,Punjab Kings,6,SS Iyer,17.0
29,2026-04-19,Punjab Kings,6,Shashank Singh,26.0
29,2026-04-19,Punjab Kings,6,Vijaykumar Vyshak,29.0
29,2026-04-19,Punjab Kings,6,XC Bartlett,14.0
29,2026-04-19,Punjab Kings,6,YS Chahal,29.0
