match_number,match_date,team_name,team_game_number,player_name,points
2,2026-03-29,Kolkata Knight Riders,1,A Raghuvanshi,79.0
2,2026-03-29,Kolkata Knight Riders,1,AM Rahane,96.0
2,2026-03-29,Kolkata Knight Riders,1,AS Roy,24.0
2,2026-03-29,Kolkata Knight Riders,1,B Muzarabani,0.0
2,2026-03-29,Kolkata Knight Riders,1,C Green,31.0
2,2026-03-29,Kolkata Knight Riders,1,CV Varun,0.0
2,2026-03-29,Kolkata Knight Riders,1,FH Allen,61.0
2,2026-03-29,Kolkata Knight Riders,1,Kartik Tyagi,27.0
2,2026-03-29,Kolkata Knight Riders,1,MK Pandey,8.0
2,2026-03-29,Kolkata Knight Riders,1,RK Singh,57.0
2,2026-03-29,Kolkata Knight Riders,1,Ramandeep Singh,8.0
2,2026-03-29,Kolkata Knight Riders,1,SP Narine,27.0
2,2026-03-29,Kolkata Knight Riders,1,VG Arora,23.0
2,2026-03-29,Mumbai Indians,1,AM Ghazanfar,-2.0
2,2026-03-29,Mumbai Indians,1,HH Pandya,56.0
2,2026-03-29,Mumbai Indians,1,JJ Bumrah,4.0
2,2026-03-29,Mumbai Indians,1,M Markande,4.0
2,2026-03-29,Mumbai Indians,1,Naman Dhir,10.0
2,2026-03-29,Mumbai Indians,1,RD Rickelton,119.0
2,2026-03-29,Mumbai Indians,1,RG Sharma,114.0
2,2026-03-29,Mumbai Indians,1,SA Yadav,23.0
2,2026-03-29,Mumbai Indians,1,SE Rutherford,12.0
2,2026-03-29,Mumbai Indians,1,SN Thakur,83.0
2,2026-03-29,Mumbai Indians,1,TA Boult,4.0
2,2026-03-29,Mumbai Indians,1,Tilak Varma,46.0
