owner_name,player_name,cricsheet_player_name,team_name,team_game_number,phase,points
Bhuvan,Rohit Sharma,RG Sharma,Mumbai Indians,1,before,114.0
Bhuvan,Sunil Narine,SP Narine,Kolkata Knight Riders,1,before,27.0
Nishant,Rinku Singh,RK Singh,Kolkata Knight Riders,1,before,57.0
Nishant,Sherfane Rutherford,SE Rutherford,Mumbai Indians,1,before,12.0
Om,Angkrish Raghuvanshi,A Raghuvanshi,Kolkata Knight Riders,1,before,79.0
Om,Cameron Green,C Green,Kolkata Knight Riders,1,before,31.0
Prabhanjan,Naman Dhir,Naman Dhir,Mumbai Indians,1,before,10.0
Prabhanjan,Trent Boult,TA Boult,Mumbai Indians,1,before,4.0
Sailesh,Varun Chakaravarthy,CV Varun,Kolkata Knight Riders,1,before,0.0
Vaibhav,Ajinkya Rahane,AM Rahane,Kolkata Knight Riders,1,before,96.0
Vaibhav,Hardik Pandya,HH Pandya,Mumbai Indians,1,before,56.0
Vamsi,Finn Allen,FH Allen,Kolkata Knight Riders,1,before,61.0
Vamsi,Jasprit Bumrah,JJ Bumrah,Mumbai Indians,1,before,4.0
Vamsi,Surya Kumar Yadav,SA Yadav,Mumbai Indians,1,before,23.0
Vamsi,Tilak Varma,Tilak Varma,Mumbai Indians,1,before,46.0
