match_number,match_date,team_name,team_game_number,player_name,points
30,2026-04-20,Gujarat Titans,6,Ashok Sharma,-1.0
30,2026-04-20,Gujarat Titans,6,B Sai Sudharsan,2.0
30,2026-04-20,Gujarat Titans,6,GD Phillips,18.0
30,2026-04-20,Gujarat Titans,6,JC Buttler,10.0
30,2026-04-20,Gujarat Titans,6,K Rabada,129.0
30,2026-04-20,Gujarat Titans,6,M Prasidh Krishna,23.0
30,2026-04-20,Gujarat Titans,6,M Shahrukh Khan,26.0
30,2026-04-20,Gujarat Titans,6,Mohammed Siraj,29.0
30,2026-04-20,Gujarat Titans,6,R Tewatia,13.0
30,2026-04-20,Gujarat Titans,6,Rashid Khan,8.0
30,2026-04-20,Gujarat Titans,6,Shubman Gill,21.0
30,2026-04-20,Gujarat Titans,6,Washington Sundar,39.0
30,2026-04-20,Mumbai Indians,6,AM Ghazanfar,66.0
30,2026-04-20,Mumbai Indians,6,Ashwani Kumar,116.0
30,2026-04-20,Mumbai Indians,6,DV Malewar,6.0
30,2026-04-20,Mumbai Indians,6,HH Pandya,53.0
30,2026-04-20,Mumbai Indians,6,JJ Bumrah,35.0
30,2026-04-20,Mumbai Indians,6,Krish Bhagat,18.0
30,2026-04-20,Mumbai Indians,6,MJ Santner,66.0
30,2026-04-20,Mumbai Indians,6,Naman Dhir,91.0
30,2026-04-20,Mumbai Indians,6,Q de Kock,40.0
30,2026-04-20,Mumbai Indians,6,RA Bawa,8.0
30,2026-04-20,Mumbai Indians,6,SA Yadav,26.0
30,2026-04-20,Mumbai Indians,6,SE Rutherford,5.0
30,2026-04-20,Mumbai Indians,6,Tilak Varma,149.0
