owner_name,player_name,cricsheet_player_name,team_name,team_game_number,phase,points
Bhuvan,Prasidh Krishna,M Prasidh Krishna,Gujarat Titans,6,before,23.0
Nishant,Shahrukh Khan,M Shahrukh Khan,Gujarat Titans,6,before,26.0
Nishant,Sherfane Rutherford,SE Rutherford,Mumbai Indians,6,before,5.0
Nishant,Washington Sundar,Washington Sundar,Gujarat Titans,6,before,39.0
Om,Jos Buttler,JC Buttler,Gujarat Titans,6,before,10.0
Om,Mohammed Siraj,Mohammed Siraj,Gujarat Titans,6,before,29.0
Om,Rahul Tewatia,R Tewatia,Gujarat Titans,6,before,13.0
Prabhanjan,Mitchell Santner,MJ Santner,Mumbai Indians,6,before,66.0
Prabhanjan,Naman Dhir,Naman Dhir,Mumbai Indians,6,before,91.0
Prabhanjan,Quinton de Kock,Q de Kock,Mumbai Indians,6,before,40.0
Prabhanjan,Sai Sudharsan,B Sai Sudharsan,Gujarat Titans,6,before,2.0
Sailesh,Kagiso Rabada,K Rabada,Gujarat Titans,6,before,129.0
Sailesh,Rashid Khan,Rashid Khan,Gujarat Titans,6,before,8.0
Vaibhav,Hardik Pandya,HH Pandya,Mumbai Indians,6,before,53.0
Vaibhav,Shubman Gill,Shubman Gill,Gujarat Titans,6,before,21.0
Vamsi,Glenn Phillips,GD Phillips,Gujarat Titans,6,before,18.0
Vamsi,Jasprit Bumrah,JJ Bumrah,Mumbai Indians,6,before,35.0
Vamsi,Surya Kumar Yadav,SA Yadav,Mumbai Indians,6,before,26.0
Vamsi,Tilak Varma,Tilak Varma,Mumbai Indians,6,before,149.0
