match_number,match_date,team_name,team_game_number,player_name,points
31,2026-04-21,Delhi Capitals,6,AR Patel,27.0
31,2026-04-21,Delhi Capitals,6,Ashutosh Sharma,22.0
31,2026-04-21,Delhi Capitals,6,DA Miller,2.0
31,2026-04-21,Delhi Capitals,6,KL Rahul,56.0
31,2026-04-21,Delhi Capitals,6,Kuldeep Yadav,-1.0
31,2026-04-21,Delhi Capitals,6,L Ngidi,0.0
31,2026-04-21,Delhi Capitals,6,Mukesh Kumar,-2.0
31,2026-04-21,Delhi Capitals,6,N Rana,94.0
31,2026-04-21,Delhi Capitals,6,P Nissanka,14.0
31,2026-04-21,Delhi Capitals,6,Sameer Rizvi,65.0
31,2026-04-21,Delhi Capitals,6,T Natarajan,2.0
31,2026-04-21,Delhi Capitals,6,T Stubbs,40.0
31,2026-04-21,Sunrisers Hyderabad,7,Abhishek Sharma,207.0
31,2026-04-21,Sunrisers Hyderabad,7,Aniket Verma,12.0
31,2026-04-21,Sunrisers Hyderabad,7,D Madushanka,45.0
31,2026-04-21,Sunrisers Hyderabad,7,E Malinga,120.0
31,2026-04-21,Sunrisers Hyderabad,7,H Klaasen,60.0
31,2026-04-21,Sunrisers Hyderabad,7,Harsh Dubey,87.0
31,2026-04-21,Sunrisers Hyderabad,7,Ishan Kishan,39.0
31,2026-04-21,Sunrisers Hyderabad,7,LS Livingstone,8.0
31,2026-04-21,Sunrisers Hyderabad,7,Nithish Kumar Reddy,6.0
31,2026-04-21,Sunrisers Hyderabad,7,S Arora,4.0
31,2026-04-21,Sunrisers Hyderabad,7,Sakib Hussain,37.0
31,2026-04-21,Sunrisers Hyderabad,7,Shivang Kumar,-2.0
31,2026-04-21,Sunrisers Hyderabad,7,TM Head,53.0
