match_number,match_date,team_name,team_game_number,player_name,points
32,2026-04-22,Lucknow Super Giants,7,A Badoni,2.0
32,2026-04-22,Lucknow Super Giants,7,AK Markram,2.0
32,2026-04-22,Lucknow Super Giants,7,DS Rathi,16.0
32,2026-04-22,Lucknow Super Giants,7,Himmat Singh,21.0
32,2026-04-22,Lucknow Super Giants,7,MD Choudhary,13.0
32,2026-04-22,Lucknow Super Giants,7,MP Yadav,4.0
32,2026-04-22,Lucknow Super Giants,7,MR Marsh,79.0
32,2026-04-22,Lucknow Super Giants,7,Mohammed Shami,62.0
32,2026-04-22,Lucknow Super Giants,7,Mohsin Khan,78.0
32,2026-04-22,Lucknow Super Giants,7,N Pooran,37.0
32,2026-04-22,Lucknow Super Giants,7,Prince Yadav,62.0
32,2026-04-22,Lucknow Super Giants,7,RR Pant,18.0
32,2026-04-22,Rajasthan Royals,7,Brijesh Sharma,66.0
32,2026-04-22,Rajasthan Royals,7,D Ferreira,34.0
32,2026-04-22,Rajasthan Royals,7,Dhruv Jurel,30.0
32,2026-04-22,Rajasthan Royals,7,JC Archer,109.0
32,2026-04-22,Rajasthan Royals,7,N Burger,56.0
32,2026-04-22,Rajasthan Royals,7,R Parag,44.0
32,2026-04-22,Rajasthan Royals,7,RA Jadeja,82.0
32,2026-04-22,Rajasthan Royals,7,Ravi Bishnoi,37.0
32,2026-04-22,Rajasthan Royals,7,Ravi Singh,12.0
32,2026-04-22,Rajasthan Royals,7,SB Dubey,32.0
32,2026-04-22,Rajasthan Royals,7,SO Hetmyer,30.0
32,2026-04-22,Rajasthan Royals,7,V Suryavanshi,14.0
32,2026-04-22,Rajasthan Royals,7,YBK Jaiswal,36.0
