match_number,match_date,team_name,team_game_number,player_name,points
33,2026-04-23,Chennai Super Kings,7,A Kamboj,43.0
33,2026-04-23,Chennai Super Kings,7,AJ Hosein,148.0
33,2026-04-23,Chennai Super Kings,7,D Brevis,44.0
33,2026-04-23,Chennai Super Kings,7,Gurjapneet Singh,43.0
33,2026-04-23,Chennai Super Kings,7,J Overton,50.0
33,2026-04-23,Chennai Super Kings,7,Kartik Sharma,26.0
33,2026-04-23,Chennai Super Kings,7,Mukesh Choudhary,45.0
33,2026-04-23,Chennai Super Kings,7,Noor Ahmad,58.0
33,2026-04-23,Chennai Super Kings,7,RD Gaikwad,35.0
33,2026-04-23,Chennai Super Kings,7,S Dube,9.0
33,2026-04-23,Chennai Super Kings,7,SN Khan,29.0
33,2026-04-23,Chennai Super Kings,7,SV Samson,165.0
33,2026-04-23,Mumbai Indians,7,AM Ghazanfar,64.0
33,2026-04-23,Mumbai Indians,7,Ashwani Kumar,55.0
33,2026-04-23,Mumbai Indians,7,DV Malewar,2.0
33,2026-04-23,Mumbai Indians,7,HH Pandya,-1.0
33,2026-04-23,Mumbai Indians,7,JJ Bumrah,39.0
33,2026-04-23,Mumbai Indians,7,Krish Bhagat,-1.0
33,2026-04-23,Mumbai Indians,7,MJ Santner,43.0
33,2026-04-23,Mumbai Indians,7,Naman Dhir,10.0
33,2026-04-23,Mumbai Indians,7,Q de Kock,11.0
33,2026-04-23,Mumbai Indians,7,SA Yadav,49.0
33,2026-04-23,Mumbai Indians,7,SE Rutherford,2.0
33,2026-04-23,Mumbai Indians,7,SN Thakur,6.0
33,2026-04-23,Mumbai Indians,7,Tilak Varma,58.0
