owner_name,player_name,cricsheet_player_name,team_name,team_game_number,phase,points
Bhuvan,Prasidh Krishna,M Prasidh Krishna,Gujarat Titans,7,before,-2.0
Bhuvan,Virat Kohli,V Kohli,Royal Challengers Bengaluru,7,before,115.0
Nishant,Jitesh Sharma,JM Sharma,Royal Challengers Bengaluru,7,before,17.0
Nishant,Romario Shepherd,R Shepherd,Royal Challengers Bengaluru,7,before,4.0
Nishant,Shahrukh Khan,M Shahrukh Khan,Gujarat Titans,7,before,12.0
Nishant,Washington Sundar,Washington Sundar,Gujarat Titans,7,before,38.0
Om,Bhuvneshwar Kumar,B Kumar,Royal Challengers Bengaluru,7,before,29.0
Om,Jos Buttler,JC Buttler,Gujarat Titans,7,before,37.0
Om,Josh Hazlewood,JR Hazlewood,Royal Challengers Bengaluru,7,before,43.0
Om,Mohammed Siraj,Mohammed Siraj,Gujarat Titans,7,before,29.0
Om,Rahul Tewatia,R Tewatia,Gujarat Titans,7,before,4.0
Prabhanjan,Sai Sudharsan,B Sai Sudharsan,Gujarat Titans,7,before,147.0
Sailesh,Jacob Bethell,JG Bethell,Royal Challengers Bengaluru,7,before,23.0
Sailesh,Kagiso Rabada,K Rabada,Gujarat Titans,7,before,0.0
Sailesh,Krunal Pandya,KH Pandya,Royal Challengers Bengaluru,7,before,32.0
Sailesh,Rashid Khan,Rashid Khan,Gujarat Titans,7,before,56.0
Sailesh,Tim David,TH David,Royal Challengers Bengaluru,7,before,16.0
Vaibhav,Devdutt Padikkal,D Padikkal,Royal Challengers Bengaluru,7,before,95.0
Vaibhav,Rajat Patidar,RM Patidar,Royal Challengers Bengaluru,7,before,14.0
Vaibhav,Shubman Gill,Shubman Gill,Gujarat Titans,7,before,46.0
Vaibhav,Suyash Sharma,Suyash Sharma,Royal Challengers Bengaluru,7,before,29.0
Vamsi,Jason Holder,JO Holder,Gujarat Titans,7,before,71.0
