match_number,match_date,team_name,team_game_number,player_name,points
35,2026-04-25,Delhi Capitals,7,AR Patel,27.0
35,2026-04-25,Delhi Capitals,7,Auqib Nabi,-2.0
35,2026-04-25,Delhi Capitals,7,DA Miller,7.0
35,2026-04-25,Delhi Capitals,7,KK Nair,8.0
35,2026-04-25,Delhi Capitals,7,KL Rahul,212.0
35,2026-04-25,Delhi Capitals,7,Kuldeep Yadav,66.0
35,2026-04-25,Delhi Capitals,7,L Ngidi,4.0
35,2026-04-25,Delhi Capitals,7,Mukesh Kumar,-2.0
35,2026-04-25,Delhi Capitals,7,N Rana,128.0
35,2026-04-25,Delhi Capitals,7,P Nissanka,17.0
35,2026-04-25,Delhi Capitals,7,Sameer Rizvi,12.0
35,2026-04-25,Delhi Capitals,7,T Natarajan,-2.0
35,2026-04-25,Delhi Capitals,7,T Stubbs,4.0
35,2026-04-25,Delhi Capitals,7,V Nigam,25.0
35,2026-04-25,Punjab Kings,7,Arshdeep Singh,23.0
35,2026-04-25,Punjab Kings,7,C Connolly,30.0
35,2026-04-25,Punjab Kings,7,M Jansen,0.0
35,2026-04-25,Punjab Kings,7,MP Stoinis,4.0
35,2026-04-25,Punjab Kings,7,N Wadhera,38.0
35,2026-04-25,Punjab Kings,7,P Simran Singh,121.0
35,2026-04-25,Punjab Kings,7,Priyansh Arya,69.0
35,2026-04-25,Punjab Kings,7,SS Iyer,114.0
35,2026-04-25,Punjab Kings,7,Shashank Singh,33.0
35,2026-04-25,Punjab Kings,7,Vijaykumar Vyshak,-2.0
35,2026-04-25,Punjab Kings,7,XC Bartlett,23.0
35,2026-04-25,Punjab Kings,7,YS Chahal,2.0
