owner_name,player_name,cricsheet_player_name,team_name,team_game_number,phase,points
Bhuvan,Marcus Stoinis,MP Stoinis,Punjab Kings,7,before,4.0
Nishant,Arshdeep Singh,Arshdeep Singh,Punjab Kings,7,before,23.0
Nishant,Mukesh Kumar,Mukesh Kumar,Delhi Capitals,7,before,-2.0
Nishant,Nehal Wadhera,N Wadhera,Punjab Kings,7,before,38.0
Nishant,Shreyas Iyer,SS Iyer,Punjab Kings,7,before,114.0
Om,Yuzvendra Chahal,YS Chahal,Punjab Kings,7,before,2.0
Prabhanjan,Axar Patel,AR Patel,Delhi Capitals,7,before,27.0
Prabhanjan,Lungi Ngidi,L Ngidi,Delhi Capitals,7,before,4.0
Prabhanjan,Marco Jansen,M Jansen,Punjab Kings,7,before,0.0
Prabhanjan,Pathum Nissanka,P Nissanka,Delhi Capitals,7,before,17.0
Sailesh,Kuldeep Yadav,Kuldeep Yadav,Delhi Capitals,7,before,66.0
Vaibhav,David Miller,DA Miller,Delhi Capitals,7,before,7.0
Vaibhav,Priyansh Arya,Priyansh Arya,Punjab Kings,7,before,69.0
Vaibhav,Tristan Stubbs,T Stubbs,Delhi Capitals,7,before,4.0
Vamsi,KL Rahul,KL Rahul,Delhi Capitals,7,before,212.0
Vamsi,Prabhsimran Singh,P Simran Singh,Punjab Kings,7,before,121.0
