match_number,match_date,team_name,team_game_number,player_name,points
36,2026-04-25,Rajasthan Royals,8,Brijesh Sharma,60.0
36,2026-04-25,Rajasthan Royals,8,D Ferreira,89.0
36,2026-04-25,Rajasthan Royals,8,Dhruv Jurel,83.0
36,2026-04-25,Rajasthan Royals,8,JC Archer,64.0
36,2026-04-25,Rajasthan Royals,8,N Burger,-2.0
36,2026-04-25,Rajasthan Royals,8,R Parag,11.0
36,2026-04-25,Rajasthan Royals,8,RA Jadeja,9.0
36,2026-04-25,Rajasthan Royals,8,Ravi Bishnoi,12.0
36,2026-04-25,Rajasthan Royals,8,SO Hetmyer,16.0
36,2026-04-25,Rajasthan Royals,8,TU Deshpande,-2.0
36,2026-04-25,Rajasthan Royals,8,V Suryavanshi,158.0
36,2026-04-25,Rajasthan Royals,8,YBK Jaiswal,16.0
36,2026-04-25,Sunrisers Hyderabad,8,Abhishek Sharma,88.0
36,2026-04-25,Sunrisers Hyderabad,8,Aniket Verma,13.0
36,2026-04-25,Sunrisers Hyderabad,8,E Malinga,54.0
36,2026-04-25,Sunrisers Hyderabad,8,H Klaasen,54.0
36,2026-04-25,Sunrisers Hyderabad,8,Ishan Kishan,109.0
36,2026-04-25,Sunrisers Hyderabad,8,Nithish Kumar Reddy,89.0
36,2026-04-25,Sunrisers Hyderabad,8,PJ Cummins,39.0
36,2026-04-25,Sunrisers Hyderabad,8,PP Hinge,23.0
36,2026-04-25,Sunrisers Hyderabad,8,S Arora,14.0
36,2026-04-25,Sunrisers Hyderabad,8,Sakib Hussain,31.0
36,2026-04-25,Sunrisers Hyderabad,8,Shivang Kumar,-2.0
36,2026-04-25,Sunrisers Hyderabad,8,TM Head,12.0
