owner_name,player_name,cricsheet_player_name,team_name,team_game_number,phase,points
Bhuvan,Dhruv Jurel,Dhruv Jurel,Rajasthan Royals,8,after,83.0
Bhuvan,Eshan Malinga,E Malinga,Sunrisers Hyderabad,8,after,54.0
Bhuvan,Ravindra Jadeja,RA Jadeja,Rajasthan Royals,8,after,9.0
Bhuvan,Salil Arora,S Arora,Sunrisers Hyderabad,8,after,14.0
Bhuvan,Shivang Kumar,Shivang Kumar,Sunrisers Hyderabad,8,after,-2.0
Bhuvan,Travis Head,TM Head,Sunrisers Hyderabad,8,after,12.0
Nishant,Brijesh Sharma,Brijesh Sharma,Rajasthan Royals,8,after,60.0
Nishant,Nandre Burger,N Burger,Rajasthan Royals,8,after,-2.0
Om,Riyan Parag,R Parag,Rajasthan Royals,8,after,11.0
Om,Yashasvi Jaiswal,YBK Jaiswal,Rajasthan Royals,8,after,16.0
Prabhanjan,Donovan Ferreira,D Ferreira,Rajasthan Royals,8,after,89.0
Prabhanjan,Nitish Kumar Reddy,Nithish Kumar Reddy,Sunrisers Hyderabad,8,after,89.0
Sailesh,Abhishek Sharma,Abhishek Sharma,Sunrisers Hyderabad,8,after,88.0
Vaibhav,Heinrich Klaasen,H Klaasen,Sunrisers Hyderabad,8,after,54.0
Vaibhav,Ishan Kishan,Ishan Kishan,Sunrisers Hyderabad,8,after,109.0
Vaibhav,Ravi Bishnoi,Ravi Bishnoi,Rajasthan Royals,8,after,12.0
Vaibhav,Vaibhav Sooryavanshi,V Suryavanshi,Rajasthan Royals,8,after,158.0
Vamsi,Jofra Archer,JC Archer,Rajasthan Royals,8,after,64.0
Vamsi,Pat Cummins,PJ Cummins,Sunrisers Hyderabad,8,after,39.0
Vamsi,Sakib Hussain,Sakib Hussain,Sunrisers Hyderabad,8,after,31.0
Vamsi,Shimron Hetmyer,SO Hetmyer,Rajasthan Royals,8,after,16.0
