match_number,match_date,team_name,team_game_number,player_name,points
39,2026-04-27,Delhi Capitals,8,AR Patel,2.0
39,2026-04-27,Delhi Capitals,8,Abishek Porel,41.0
39,2026-04-27,Delhi Capitals,8,DA Miller,26.0
39,2026-04-27,Delhi Capitals,8,KA Jamieson,38.0
39,2026-04-27,Delhi Capitals,8,KL Rahul,5.0
39,2026-04-27,Delhi Capitals,8,Kuldeep Yadav,1.0
39,2026-04-27,Delhi Capitals,8,N Rana,5.0
39,2026-04-27,Delhi Capitals,8,PVD Chameera,4.0
39,2026-04-27,Delhi Capitals,8,SU Parakh,2.0
39,2026-04-27,Delhi Capitals,8,Sameer Rizvi,2.0
39,2026-04-27,Delhi Capitals,8,T Natarajan,12.0
39,2026-04-27,Delhi Capitals,8,T Stubbs,10.0
39,2026-04-27,Royal Challengers Bengaluru,8,B Kumar,97.0
39,2026-04-27,Royal Challengers Bengaluru,8,D Padikkal,73.0
39,2026-04-27,Royal Challengers Bengaluru,8,JG Bethell,35.0
39,2026-04-27,Royal Challengers Bengaluru,8,JM Sharma,40.0
39,2026-04-27,Royal Challengers Bengaluru,8,JR Hazlewood,126.0
39,2026-04-27,Royal Challengers Bengaluru,8,KH Pandya,43.0
39,2026-04-27,Royal Challengers Bengaluru,8,R Shepherd,2.0
39,2026-04-27,Royal Challengers Bengaluru,8,RM Patidar,4.0
39,2026-04-27,Royal Challengers Bengaluru,8,Rasikh Salam,27.0
39,2026-04-27,Royal Challengers Bengaluru,8,Suyash Sharma,55.0
39,2026-04-27,Royal Challengers Bengaluru,8,TH David,4.0
39,2026-04-27,Royal Challengers Bengaluru,8,V Kohli,36.0
