owner_name,player_name,cricsheet_player_name,team_name,team_game_number,phase,points
Bhuvan,Virat Kohli,V Kohli,Royal Challengers Bengaluru,8,after,36.0
Nishant,Jitesh Sharma,JM Sharma,Royal Challengers Bengaluru,8,after,40.0
Nishant,Sameer Rizvi,Sameer Rizvi,Delhi Capitals,8,after,2.0
Om,Bhuvneshwar Kumar,B Kumar,Royal Challengers Bengaluru,8,after,97.0
Om,Josh Hazlewood,JR Hazlewood,Royal Challengers Bengaluru,8,after,126.0
Om,Rajat Patidar,RM Patidar,Royal Challengers Bengaluru,8,after,4.0
Prabhanjan,Axar Patel,AR Patel,Delhi Capitals,8,after,2.0
Sailesh,Krunal Pandya,KH Pandya,Royal Challengers Bengaluru,8,after,43.0
Sailesh,Kuldeep Yadav,Kuldeep Yadav,Delhi Capitals,8,after,1.0
Sailesh,T Natarajan,T Natarajan,Delhi Capitals,8,after,12.0
Sailesh,Tim David,TH David,Royal Challengers Bengaluru,8,after,4.0
Vaibhav,David Miller,DA Miller,Delhi Capitals,8,after,26.0
Vaibhav,Devdutt Padikkal,D Padikkal,Royal Challengers Bengaluru,8,after,73.0
Vaibhav,Nitish Rana,N Rana,Delhi Capitals,8,after,5.0
Vaibhav,Suyash Sharma,Suyash Sharma,Royal Challengers Bengaluru,8,after,55.0
Vaibhav,Tristan Stubbs,T Stubbs,Delhi Capitals,8,after,10.0
Vamsi,KL Rahul,KL Rahul,Delhi Capitals,8,after,5.0
