match_number,match_date,team_name,team_game_number,player_name,points
3,2026-03-30,Chennai Super Kings,1,A Kamboj,70.0
3,2026-03-30,Chennai Super Kings,1,A Mhatre,2.0
3,2026-03-30,Chennai Super Kings,1,J Overton,57.0
3,2026-03-30,Chennai Super Kings,1,KK Ahmed,8.0
3,2026-03-30,Chennai Super Kings,1,Kartik Sharma,24.0
3,2026-03-30,Chennai Super Kings,1,MJ Henry,4.0
3,2026-03-30,Chennai Super Kings,1,MW Short,6.0
3,2026-03-30,Chennai Super Kings,1,Noor Ahmad,1.0
3,2026-03-30,Chennai Super Kings,1,RD Gaikwad,7.0
3,2026-03-30,Chennai Super Kings,1,S Dube,12.0
3,2026-03-30,Chennai Super Kings,1,SN Khan,35.0
3,2026-03-30,Chennai Super Kings,1,SV Samson,11.0
3,2026-03-30,Rajasthan Royals,1,Brijesh Sharma,41.0
3,2026-03-30,Rajasthan Royals,1,Dhruv Jurel,48.0
3,2026-03-30,Rajasthan Royals,1,JC Archer,68.0
3,2026-03-30,Rajasthan Royals,1,N Burger,64.0
3,2026-03-30,Rajasthan Royals,1,R Parag,21.0
3,2026-03-30,Rajasthan Royals,1,RA Jadeja,66.0
3,2026-03-30,Rajasthan Royals,1,Ravi Bishnoi,49.0
3,2026-03-30,Rajasthan Royals,1,SO Hetmyer,10.0
3,2026-03-30,Rajasthan Royals,1,Sandeep Sharma,29.0
3,2026-03-30,Rajasthan Royals,1,V Suryavanshi,84.0
3,2026-03-30,Rajasthan Royals,1,YBK Jaiswal,59.0
