owner_name,player_name,cricsheet_player_name,team_name,team_game_number,phase,points
Bhuvan,Dhruv Jurel,Dhruv Jurel,Rajasthan Royals,1,before,48.0
Bhuvan,Kartik Sharma,Kartik Sharma,Chennai Super Kings,1,before,24.0
Bhuvan,Ravindra Jadeja,RA Jadeja,Rajasthan Royals,1,before,66.0
Nishant,Ayush Mhatre,A Mhatre,Chennai Super Kings,1,before,2.0
Nishant,Nandre Burger,N Burger,Rajasthan Royals,1,before,64.0
Nishant,Sanju Samson,SV Samson,Chennai Super Kings,1,before,11.0
Nishant,Shivam Dube,S Dube,Chennai Super Kings,1,before,12.0
Om,Noor Ahmad,Noor Ahmad,Chennai Super Kings,1,before,1.0
Om,Ruturaj Gaikwad,RD Gaikwad,Chennai Super Kings,1,before,7.0
Om,Vaibhav Sooryavanshi,V Suryavanshi,Rajasthan Royals,1,before,84.0
Om,Yashasvi Jaiswal,YBK Jaiswal,Rajasthan Royals,1,before,59.0
Prabhanjan,Khaleel Ahmed,KK Ahmed,Chennai Super Kings,1,before,8.0
Vaibhav,Ravi Bishnoi,Ravi Bishnoi,Rajasthan Royals,1,before,49.0
Vaibhav,Riyan Parag,R Parag,Rajasthan Royals,1,before,21.0
Vamsi,Jofra Archer,JC Archer,Rajasthan Royals,1,before,68.0
Vamsi,Sandeep Sharma,Sandeep Sharma,Rajasthan Royals,1,before,29.0
Vamsi,Shimron Hetmyer,SO Hetmyer,Rajasthan Royals,1,before,10.0
