match_number,match_date,team_name,team_game_number,player_name,points
40,2026-04-28,Punjab Kings,8,Arshdeep Singh,23.0
40,2026-04-28,Punjab Kings,8,C Connolly,52.0
40,2026-04-28,Punjab Kings,8,Harpreet Brar,6.0
40,2026-04-28,Punjab Kings,8,LH Ferguson,-2.0
40,2026-04-28,Punjab Kings,8,M Jansen,6.0
40,2026-04-28,Punjab Kings,8,MP Stoinis,96.0
40,2026-04-28,Punjab Kings,8,N Wadhera,4.0
40,2026-04-28,Punjab Kings,8,P Simran Singh,81.0
40,2026-04-28,Punjab Kings,8,Priyansh Arya,46.0
40,2026-04-28,Punjab Kings,8,SS Iyer,49.0
40,2026-04-28,Punjab Kings,8,Suryansh Shedge,23.0
40,2026-04-28,Punjab Kings,8,YS Chahal,83.0
40,2026-04-28,Rajasthan Royals,9,Brijesh Sharma,2.0
40,2026-04-28,Rajasthan Royals,9,D Ferreira,90.0
40,2026-04-28,Rajasthan Royals,9,Dhruv Jurel,30.0
40,2026-04-28,Rajasthan Royals,9,JC Archer,27.0
40,2026-04-28,Rajasthan Royals,9,MD Shanaka,4.0
40,2026-04-28,Rajasthan Royals,9,N Burger,31.0
40,2026-04-28,Rajasthan Royals,9,R Parag,53.0
40,2026-04-28,Rajasthan Royals,9,RA Jadeja,4.0
40,2026-04-28,Rajasthan Royals,9,SB Dubey,52.0
40,2026-04-28,Rajasthan Royals,9,V Suryavanshi,70.0
40,2026-04-28,Rajasthan Royals,9,YBK Jaiswal,78.0
40,2026-04-28,Rajasthan Royals,9,Yash Raj Punja,52.0
