match_number,match_date,team_name,team_game_number,player_name,points
41,2026-04-29,Mumbai Indians,8,AM Ghazanfar,56.0
41,2026-04-29,Mumbai Indians,8,Ashwani Kumar,-2.0
41,2026-04-29,Mumbai Indians,8,HH Pandya,74.0
41,2026-04-29,Mumbai Indians,8,JJ Bumrah,-2.0
41,2026-04-29,Mumbai Indians,8,Naman Dhir,29.0
41,2026-04-29,Mumbai Indians,8,R Minz,5.0
41,2026-04-29,Mumbai Indians,8,RD Rickelton,175.0
41,2026-04-29,Mumbai Indians,8,SA Yadav,18.0
41,2026-04-29,Mumbai Indians,8,SN Thakur,4.0
41,2026-04-29,Mumbai Indians,8,TA Boult,35.0
41,2026-04-29,Mumbai Indians,8,Tilak Varma,13.0
41,2026-04-29,Mumbai Indians,8,WG Jacks,79.0
41,2026-04-29,Sunrisers Hyderabad,9,Abhishek Sharma,77.0
41,2026-04-29,Sunrisers Hyderabad,9,Aniket Verma,4.0
41,2026-04-29,Sunrisers Hyderabad,9,E Malinga,29.0
41,2026-04-29,Sunrisers Hyderabad,9,H Klaasen,114.0
41,2026-04-29,Sunrisers Hyderabad,9,Harsh Dubey,6.0
41,2026-04-29,Sunrisers Hyderabad,9,Ishan Kishan,10.0
41,2026-04-29,Sunrisers Hyderabad,9,Nithish Kumar Reddy,47.0
41,2026-04-29,Sunrisers Hyderabad,9,PJ Cummins,4.0
41,2026-04-29,Sunrisers Hyderabad,9,PP Hinge,48.0
41,2026-04-29,Sunrisers Hyderabad,9,S Arora,52.0
41,2026-04-29,Sunrisers Hyderabad,9,Sakib Hussain,23.0
41,2026-04-29,Sunrisers Hyderabad,9,TM Head,114.0
