match_number,match_date,team_name,team_game_number,player_name,points
42,2026-04-30,Gujarat Titans,9,Arshad Khan,85.0
42,2026-04-30,Gujarat Titans,9,B Sai Sudharsan,27.0
42,2026-04-30,Gujarat Titans,9,JC Buttler,77.0
42,2026-04-30,Gujarat Titans,9,JO Holder,96.0
42,2026-04-30,Gujarat Titans,9,K Rabada,27.0
42,2026-04-30,Gujarat Titans,9,M Shahrukh Khan,13.0
42,2026-04-30,Gujarat Titans,9,MJ Suthar,4.0
42,2026-04-30,Gujarat Titans,9,Mohammed Siraj,29.0
42,2026-04-30,Gujarat Titans,9,R Tewatia,39.0
42,2026-04-30,Gujarat Titans,9,Rashid Khan,92.0
42,2026-04-30,Gujarat Titans,9,Shubman Gill,73.0
42,2026-04-30,Gujarat Titans,9,Washington Sundar,18.0
42,2026-04-30,Royal Challengers Bengaluru,9,B Kumar,110.0
42,2026-04-30,Royal Challengers Bengaluru,9,D Padikkal,69.0
42,2026-04-30,Royal Challengers Bengaluru,9,JG Bethell,10.0
42,2026-04-30,Royal Challengers Bengaluru,9,JM Sharma,13.0
42,2026-04-30,Royal Challengers Bengaluru,9,JR Hazlewood,4.0
42,2026-04-30,Royal Challengers Bengaluru,9,KH Pandya,9.0
42,2026-04-30,Royal Challengers Bengaluru,9,R Shepherd,83.0
42,2026-04-30,Royal Challengers Bengaluru,9,RM Patidar,27.0
42,2026-04-30,Royal Challengers Bengaluru,9,Suyash Sharma,25.0
42,2026-04-30,Royal Challengers Bengaluru,9,TH David,15.0
42,2026-04-30,Royal Challengers Bengaluru,9,V Kohli,53.0
42,2026-04-30,Royal Challengers Bengaluru,9,VR Iyer,17.0
