match_number,match_date,team_name,team_game_number,player_name,points
43,2026-05-01,Delhi Capitals,9,AR Patel,37.0
43,2026-05-01,Delhi Capitals,9,Ashutosh Sharma,55.0
43,2026-05-01,Delhi Capitals,9,KA Jamieson,33.0
43,2026-05-01,Delhi Capitals,9,KL Rahul,109.0
43,2026-05-01,Delhi Capitals,9,Kuldeep Yadav,2.0
43,2026-05-01,Delhi Capitals,9,MA Starc,89.0
43,2026-05-01,Delhi Capitals,9,N Rana,54.0
43,2026-05-01,Delhi Capitals,9,P Nissanka,92.0
43,2026-05-01,Delhi Capitals,9,Sameer Rizvi,4.0
43,2026-05-01,Delhi Capitals,9,T Natarajan,23.0
43,2026-05-01,Delhi Capitals,9,T Stubbs,37.0
43,2026-05-01,Rajasthan Royals,10,Brijesh Sharma,0.0
43,2026-05-01,Rajasthan Royals,10,D Ferreira,83.0
43,2026-05-01,Rajasthan Royals,10,Dhruv Jurel,66.0
43,2026-05-01,Rajasthan Royals,10,JC Archer,26.0
43,2026-05-01,Rajasthan Royals,10,N Burger,-2.0
43,2026-05-01,Rajasthan Royals,10,R Parag,126.0
43,2026-05-01,Rajasthan Royals,10,RA Jadeja,60.0
43,2026-05-01,Rajasthan Royals,10,Ravi Bishnoi,-2.0
43,2026-05-01,Rajasthan Royals,10,SB Dubey,11.0
43,2026-05-01,Rajasthan Royals,10,TU Deshpande,29.0
43,2026-05-01,Rajasthan Royals,10,V Suryavanshi,9.0
43,2026-05-01,Rajasthan Royals,10,YBK Jaiswal,12.0
