owner_name,player_name,cricsheet_player_name,team_name,team_game_number,phase,points
Bhuvan,Anshul Kamboj,A Kamboj,Chennai Super Kings,9,after,91.0
Nishant,Dewald Brevis,D Brevis,Chennai Super Kings,9,after,20.0
Nishant,Mukul Choudhary,Mukesh Choudhary,Chennai Super Kings,9,after,4.0
Nishant,Sanju Samson,SV Samson,Chennai Super Kings,9,after,17.0
Nishant,Shivam Dube,S Dube,Chennai Super Kings,9,after,4.0
Om,Noor Ahmad,Noor Ahmad,Chennai Super Kings,9,after,56.0
Om,Ruturaj Gaikwad,RD Gaikwad,Chennai Super Kings,9,after,98.0
Om,Will Jacks,WG Jacks,Mumbai Indians,9,after,5.0
Prabhanjan,Naman Dhir,Naman Dhir,Mumbai Indians,9,after,83.0
Sailesh,Jamie Overton,J Overton,Chennai Super Kings,9,after,33.0
Sailesh,Sarfaraz Khan,SN Khan,Chennai Super Kings,9,after,8.0
Vaibhav,Hardik Pandya,HH Pandya,Mumbai Indians,9,after,24.0
Vamsi,Allah Ghazanfar,AM Ghazanfar,Mumbai Indians,9,after,35.0
Vamsi,Jasprit Bumrah,JJ Bumrah,Mumbai Indians,9,after,31.0
Vamsi,Surya Kumar Yadav,SA Yadav,Mumbai Indians,9,after,36.0
Vamsi,Tilak Varma,Tilak Varma,Mumbai Indians,9,after,9.0
