match_number,match_date,team_name,team_game_number,player_name,points
46,2026-05-03,Gujarat Titans,10,Arshad Khan,13.0
46,2026-05-03,Gujarat Titans,10,B Sai Sudharsan,78.0
46,2026-05-03,Gujarat Titans,10,JC Buttler,63.0
46,2026-05-03,Gujarat Titans,10,JO Holder,137.0
46,2026-05-03,Gujarat Titans,10,K Rabada,70.0
46,2026-05-03,Gujarat Titans,10,MJ Suthar,12.0
46,2026-05-03,Gujarat Titans,10,Mohammed Siraj,56.0
46,2026-05-03,Gujarat Titans,10,N Sindhu,31.0
46,2026-05-03,Gujarat Titans,10,R Tewatia,6.0
46,2026-05-03,Gujarat Titans,10,Rashid Khan,29.0
46,2026-05-03,Gujarat Titans,10,Shubman Gill,18.0
46,2026-05-03,Gujarat Titans,10,Washington Sundar,69.0
46,2026-05-03,Punjab Kings,9,Arshdeep Singh,59.0
46,2026-05-03,Punjab Kings,9,C Connolly,18.0
46,2026-05-03,Punjab Kings,9,M Jansen,58.0
46,2026-05-03,Punjab Kings,9,MP Stoinis,80.0
46,2026-05-03,Punjab Kings,9,N Wadhera,2.0
46,2026-05-03,Punjab Kings,9,P Simran Singh,21.0
46,2026-05-03,Punjab Kings,9,Priyansh Arya,6.0
46,2026-05-03,Punjab Kings,9,SS Iyer,34.0
46,2026-05-03,Punjab Kings,9,Suryansh Shedge,88.0
46,2026-05-03,Punjab Kings,9,Vijaykumar Vyshak,63.0
46,2026-05-03,Punjab Kings,9,XC Bartlett,18.0
46,2026-05-03,Punjab Kings,9,YS Chahal,4.0
