match_number,match_date,team_name,team_game_number,player_name,points
47,2026-05-04,Lucknow Super Giants,9,AK Markram,50.0
47,2026-05-04,Lucknow Super Giants,9,Akshat Raghuwanshi,17.0
47,2026-05-04,Lucknow Super Giants,9,Avesh Khan,-2.0
47,2026-05-04,Lucknow Super Giants,9,Himmat Singh,56.0
47,2026-05-04,Lucknow Super Giants,9,JP Inglis,28.0
47,2026-05-04,Lucknow Super Giants,9,M Siddharth,50.0
47,2026-05-04,Lucknow Super Giants,9,MR Marsh,68.0
47,2026-05-04,Lucknow Super Giants,9,Mohammed Shami,31.0
47,2026-05-04,Lucknow Super Giants,9,Mohsin Khan,25.0
47,2026-05-04,Lucknow Super Giants,9,N Pooran,106.0
47,2026-05-04,Lucknow Super Giants,9,Prince Yadav,4.0
47,2026-05-04,Lucknow Super Giants,9,RR Pant,26.0
47,2026-05-04,Mumbai Indians,10,AM Ghazanfar,23.0
47,2026-05-04,Mumbai Indians,10,C Bosch,52.0
47,2026-05-04,Mumbai Indians,10,DL Chahar,2.0
47,2026-05-04,Mumbai Indians,10,JJ Bumrah,0.0
47,2026-05-04,Mumbai Indians,10,Naman Dhir,46.0
47,2026-05-04,Mumbai Indians,10,RA Bawa,4.0
47,2026-05-04,Mumbai Indians,10,RD Rickelton,139.0
47,2026-05-04,Mumbai Indians,10,RG Sharma,122.0
47,2026-05-04,Mumbai Indians,10,Raghu Sharma,37.0
47,2026-05-04,Mumbai Indians,10,SA Yadav,26.0
47,2026-05-04,Mumbai Indians,10,Tilak Varma,15.0
47,2026-05-04,Mumbai Indians,10,WG Jacks,35.0
