match_number,match_date,team_name,team_game_number,player_name,points
48,2026-05-05,Chennai Super Kings,10,A Kamboj,-2.0
48,2026-05-05,Chennai Super Kings,10,AJ Hosein,43.0
48,2026-05-05,Chennai Super Kings,10,D Brevis,12.0
48,2026-05-05,Chennai Super Kings,10,Gurjapneet Singh,37.0
48,2026-05-05,Chennai Super Kings,10,J Overton,29.0
48,2026-05-05,Chennai Super Kings,10,Kartik Sharma,67.0
48,2026-05-05,Chennai Super Kings,10,Mukesh Choudhary,37.0
48,2026-05-05,Chennai Super Kings,10,Noor Ahmad,54.0
48,2026-05-05,Chennai Super Kings,10,RD Gaikwad,25.0
48,2026-05-05,Chennai Super Kings,10,SV Samson,122.0
48,2026-05-05,Chennai Super Kings,10,Urvil Patel,25.0
48,2026-05-05,Delhi Capitals,10,AR Patel,33.0
48,2026-05-05,Delhi Capitals,10,Ashutosh Sharma,22.0
48,2026-05-05,Delhi Capitals,10,KK Nair,19.0
48,2026-05-05,Delhi Capitals,10,KL Rahul,30.0
48,2026-05-05,Delhi Capitals,10,Kuldeep Yadav,0.0
48,2026-05-05,Delhi Capitals,10,L Ngidi,29.0
48,2026-05-05,Delhi Capitals,10,MA Starc,4.0
48,2026-05-05,Delhi Capitals,10,N Rana,21.0
48,2026-05-05,Delhi Capitals,10,P Nissanka,28.0
48,2026-05-05,Delhi Capitals,10,Sameer Rizvi,68.0
48,2026-05-05,Delhi Capitals,10,T Natarajan,-2.0
48,2026-05-05,Delhi Capitals,10,T Stubbs,51.0
