owner_name,player_name,cricsheet_player_name,team_name,team_game_number,phase,points
Bhuvan,Anshul Kamboj,A Kamboj,Chennai Super Kings,10,after,-2.0
Nishant,Dewald Brevis,D Brevis,Chennai Super Kings,10,after,12.0
Nishant,Mitchell Starc,MA Starc,Delhi Capitals,10,after,4.0
Nishant,Mukul Choudhary,Mukesh Choudhary,Chennai Super Kings,10,after,37.0
Nishant,Sameer Rizvi,Sameer Rizvi,Delhi Capitals,10,after,68.0
Nishant,Sanju Samson,SV Samson,Chennai Super Kings,10,after,122.0
Om,Akeal Hosein,AJ Hosein,Chennai Super Kings,10,after,43.0
Om,Noor Ahmad,Noor Ahmad,Chennai Super Kings,10,after,54.0
Om,Ruturaj Gaikwad,RD Gaikwad,Chennai Super Kings,10,after,25.0
Prabhanjan,Axar Patel,AR Patel,Delhi Capitals,10,after,33.0
Prabhanjan,Lungi Ngidi,L Ngidi,Delhi Capitals,10,after,29.0
Prabhanjan,Pathum Nissanka,P Nissanka,Delhi Capitals,10,after,28.0
Sailesh,Jamie Overton,J Overton,Chennai Super Kings,10,after,29.0
Sailesh,Kuldeep Yadav,Kuldeep Yadav,Delhi Capitals,10,after,0.0
Sailesh,T Natarajan,T Natarajan,Delhi Capitals,10,after,-2.0
Vaibhav,Nitish Rana,N Rana,Delhi Capitals,10,after,21.0
Vaibhav,Tristan Stubbs,T Stubbs,Delhi Capitals,10,after,51.0
Vamsi,KL Rahul,KL Rahul,Delhi Capitals,10,after,30.0
