match_number,match_date,team_name,team_game_number,player_name,points
49,2026-05-06,Punjab Kings,10,Arshdeep Singh,27.0
49,2026-05-06,Punjab Kings,10,C Connolly,156.0
49,2026-05-06,Punjab Kings,10,LH Ferguson,27.0
49,2026-05-06,Punjab Kings,10,M Jansen,35.0
49,2026-05-06,Punjab Kings,10,MP Stoinis,45.0
49,2026-05-06,Punjab Kings,10,P Simran Singh,7.0
49,2026-05-06,Punjab Kings,10,Priyansh Arya,5.0
49,2026-05-06,Punjab Kings,10,SS Iyer,18.0
49,2026-05-06,Punjab Kings,10,Shashank Singh,9.0
49,2026-05-06,Punjab Kings,10,Suryansh Shedge,44.0
49,2026-05-06,Punjab Kings,10,Vijaykumar Vyshak,24.0
49,2026-05-06,Punjab Kings,10,YS Chahal,29.0
49,2026-05-06,Sunrisers Hyderabad,11,Abhishek Sharma,67.0
49,2026-05-06,Sunrisers Hyderabad,11,E Malinga,37.0
49,2026-05-06,Sunrisers Hyderabad,11,H Klaasen,96.0
49,2026-05-06,Sunrisers Hyderabad,11,Harsh Dubey,6.0
49,2026-05-06,Sunrisers Hyderabad,11,Ishan Kishan,91.0
49,2026-05-06,Sunrisers Hyderabad,11,Nithish Kumar Reddy,82.0
49,2026-05-06,Sunrisers Hyderabad,11,PJ Cummins,70.0
49,2026-05-06,Sunrisers Hyderabad,11,R Smaran,4.0
49,2026-05-06,Sunrisers Hyderabad,11,S Arora,4.0
49,2026-05-06,Sunrisers Hyderabad,11,Sakib Hussain,27.0
49,2026-05-06,Sunrisers Hyderabad,11,Shivang Kumar,50.0
49,2026-05-06,Sunrisers Hyderabad,11,TM Head,61.0
