owner_name,player_name,cricsheet_player_name,team_name,team_game_number,phase,points
Bhuvan,Eshan Malinga,E Malinga,Sunrisers Hyderabad,11,after,37.0
Bhuvan,Harsh Dubey,Harsh Dubey,Sunrisers Hyderabad,11,after,6.0
Bhuvan,Marcus Stoinis,MP Stoinis,Punjab Kings,10,after,45.0
Bhuvan,Salil Arora,S Arora,Sunrisers Hyderabad,11,after,4.0
Bhuvan,Shivang Kumar,Shivang Kumar,Sunrisers Hyderabad,11,after,50.0
Bhuvan,Travis Head,TM Head,Sunrisers Hyderabad,11,after,61.0
Nishant,Arshdeep Singh,Arshdeep Singh,Punjab Kings,10,after,27.0
Nishant,Shreyas Iyer,SS Iyer,Punjab Kings,10,after,18.0
Nishant,Vyshak Vijaykumar,Vijaykumar Vyshak,Punjab Kings,10,after,24.0
Om,Yuzvendra Chahal,YS Chahal,Punjab Kings,10,after,29.0
Prabhanjan,Cooper Connolly,C Connolly,Punjab Kings,10,after,156.0
Prabhanjan,Marco Jansen,M Jansen,Punjab Kings,10,after,35.0
Prabhanjan,Nitish Kumar Reddy,Nithish Kumar Reddy,Sunrisers Hyderabad,11,after,82.0
Prabhanjan,Shashank Singh,Shashank Singh,Punjab Kings,10,after,9.0
Sailesh,Abhishek Sharma,Abhishek Sharma,Sunrisers Hyderabad,11,after,67.0
Vaibhav,Heinrich Klaasen,H Klaasen,Sunrisers Hyderabad,11,after,96.0
Vaibhav,Ishan Kishan,Ishan Kishan,Sunrisers Hyderabad,11,after,91.0
Vaibhav,Priyansh Arya,Priyansh Arya,Punjab Kings,10,after,5.0
Vamsi,Pat Cummins,PJ Cummins,Sunrisers Hyderabad,11,after,70.0
Vamsi,Prabhsimran Singh,P Simran Singh,Punjab Kings,10,after,7.0
Vamsi,Sakib Hussain,Sakib Hussain,Sunrisers Hyderabad,11,after,27.0
