match_number,match_date,team_name,team_game_number,player_name,points
4,2026-03-31,Gujarat Titans,1,Ashok Sharma,35.0
4,2026-03-31,Gujarat Titans,1,B Sai Sudharsan,19.0
4,2026-03-31,Gujarat Titans,1,GD Phillips,34.0
4,2026-03-31,Gujarat Titans,1,JC Buttler,61.0
4,2026-03-31,Gujarat Titans,1,K Rabada,25.0
4,2026-03-31,Gujarat Titans,1,M Prasidh Krishna,91.0
4,2026-03-31,Gujarat Titans,1,M Shahrukh Khan,8.0
4,2026-03-31,Gujarat Titans,1,Mohammed Siraj,4.0
4,2026-03-31,Gujarat Titans,1,R Tewatia,16.0
4,2026-03-31,Gujarat Titans,1,Rashid Khan,37.0
4,2026-03-31,Gujarat Titans,1,Shubman Gill,71.0
4,2026-03-31,Gujarat Titans,1,Washington Sundar,57.0
4,2026-03-31,Punjab Kings,1,Arshdeep Singh,18.0
4,2026-03-31,Punjab Kings,1,C Connolly,111.0
4,2026-03-31,Punjab Kings,1,M Jansen,54.0
4,2026-03-31,Punjab Kings,1,MP Stoinis,2.0
4,2026-03-31,Punjab Kings,1,N Wadhera,7.0
4,2026-03-31,Punjab Kings,1,P Simran Singh,58.0
4,2026-03-31,Punjab Kings,1,Priyansh Arya,13.0
4,2026-03-31,Punjab Kings,1,SS Iyer,38.0
4,2026-03-31,Punjab Kings,1,Shashank Singh,8.0
4,2026-03-31,Punjab Kings,1,Vijaykumar Vyshak,83.0
4,2026-03-31,Punjab Kings,1,XC Bartlett,25.0
4,2026-03-31,Punjab Kings,1,YS Chahal,56.0
