owner_name,player_name,cricsheet_player_name,team_name,team_game_number,phase,points
Bhuvan,Marcus Stoinis,MP Stoinis,Punjab Kings,1,before,2.0
Bhuvan,Prasidh Krishna,M Prasidh Krishna,Gujarat Titans,1,before,91.0
Nishant,Arshdeep Singh,Arshdeep Singh,Punjab Kings,1,before,18.0
Nishant,Nehal Wadhera,N Wadhera,Punjab Kings,1,before,7.0
Nishant,Shahrukh Khan,M Shahrukh Khan,Gujarat Titans,1,before,8.0
Nishant,Shreyas Iyer,SS Iyer,Punjab Kings,1,before,38.0
Nishant,Washington Sundar,Washington Sundar,Gujarat Titans,1,before,57.0
Om,Jos Buttler,JC Buttler,Gujarat Titans,1,before,61.0
Om,Mohammed Siraj,Mohammed Siraj,Gujarat Titans,1,before,4.0
Om,Rahul Tewatia,R Tewatia,Gujarat Titans,1,before,16.0
Om,Yuzvendra Chahal,YS Chahal,Punjab Kings,1,before,56.0
Prabhanjan,Marco Jansen,M Jansen,Punjab Kings,1,before,54.0
Prabhanjan,Sai Sudharsan,B Sai Sudharsan,Gujarat Titans,1,before,19.0
Sailesh,Kagiso Rabada,K Rabada,Gujarat Titans,1,before,25.0
Sailesh,Rashid Khan,Rashid Khan,Gujarat Titans,1,before,37.0
Vaibhav,Priyansh Arya,Priyansh Arya,Punjab Kings,1,before,13.0
Vaibhav,Shubman Gill,Shubman Gill,Gujarat Titans,1,before,71.0
Vamsi,Glenn Phillips,GD Phillips,Gujarat Titans,1,before,34.0
Vamsi,Prabhsimran Singh,P Simran Singh,Punjab Kings,1,before,58.0
