match_number,match_date,team_name,team_game_number,player_name,points
51,2026-05-08,Delhi Capitals,11,AR Patel,46.0
51,2026-05-08,Delhi Capitals,11,Ashutosh Sharma,58.0
51,2026-05-08,Delhi Capitals,11,KL Rahul,35.0
51,2026-05-08,Delhi Capitals,11,Kuldeep Yadav,-2.0
51,2026-05-08,Delhi Capitals,11,L Ngidi,11.0
51,2026-05-08,Delhi Capitals,11,MA Starc,12.0
51,2026-05-08,Delhi Capitals,11,Mukesh Kumar,4.0
51,2026-05-08,Delhi Capitals,11,N Rana,13.0
51,2026-05-08,Delhi Capitals,11,P Nissanka,79.0
51,2026-05-08,Delhi Capitals,11,Sameer Rizvi,7.0
51,2026-05-08,Delhi Capitals,11,T Stubbs,6.0
51,2026-05-08,Delhi Capitals,11,V Nigam,1.0
51,2026-05-08,Kolkata Knight Riders,10,A Raghuvanshi,23.0
51,2026-05-08,Kolkata Knight Riders,10,AM Rahane,28.0
51,2026-05-08,Kolkata Knight Riders,10,AS Roy,70.0
51,2026-05-08,Kolkata Knight Riders,10,C Green,78.0
51,2026-05-08,Kolkata Knight Riders,10,CV Varun,6.0
51,2026-05-08,Kolkata Knight Riders,10,FH Allen,151.0
51,2026-05-08,Kolkata Knight Riders,10,Kartik Tyagi,62.0
51,2026-05-08,Kolkata Knight Riders,10,MK Pandey,4.0
51,2026-05-08,Kolkata Knight Riders,10,R Powell,12.0
51,2026-05-08,Kolkata Knight Riders,10,RK Singh,4.0
51,2026-05-08,Kolkata Knight Riders,10,SP Narine,43.0
51,2026-05-08,Kolkata Knight Riders,10,VG Arora,29.0
