owner_name,player_name,cricsheet_player_name,team_name,team_game_number,phase,points
Bhuvan,Kartik Tyagi,Kartik Tyagi,Kolkata Knight Riders,10,after,62.0
Bhuvan,Sunil Narine,SP Narine,Kolkata Knight Riders,10,after,43.0
Nishant,Mitchell Starc,MA Starc,Delhi Capitals,11,after,12.0
Nishant,Mukesh Kumar,Mukesh Kumar,Delhi Capitals,11,after,4.0
Nishant,Rinku Singh,RK Singh,Kolkata Knight Riders,10,after,4.0
Nishant,Sameer Rizvi,Sameer Rizvi,Delhi Capitals,11,after,7.0
Om,Angkrish Raghuvanshi,A Raghuvanshi,Kolkata Knight Riders,10,after,23.0
Om,Cameron Green,C Green,Kolkata Knight Riders,10,after,78.0
Prabhanjan,Axar Patel,AR Patel,Delhi Capitals,11,after,46.0
Prabhanjan,Lungi Ngidi,L Ngidi,Delhi Capitals,11,after,11.0
Prabhanjan,Pathum Nissanka,P Nissanka,Delhi Capitals,11,after,79.0
Sailesh,Kuldeep Yadav,Kuldeep Yadav,Delhi Capitals,11,after,-2.0
Sailesh,Vaibhav Arora,VG Arora,Kolkata Knight Riders,10,after,29.0
Sailesh,Varun Chakaravarthy,CV Varun,Kolkata Knight Riders,10,after,6.0
Vaibhav,Ajinkya Rahane,AM Rahane,Kolkata Knight Riders,10,after,28.0
Vaibhav,Nitish Rana,N Rana,Delhi Capitals,11,after,13.0
Vaibhav,Tristan Stubbs,T Stubbs,Delhi Capitals,11,after,6.0
Vamsi,KL Rahul,KL Rahul,Delhi Capitals,11,after,35.0
