owner_name,player_name,cricsheet_player_name,team_name,team_game_number,phase,points
Bhuvan,Dhruv Jurel,Dhruv Jurel,Rajasthan Royals,11,after,41.0
Bhuvan,Ravindra Jadeja,RA Jadeja,Rajasthan Royals,11,after,82.0
Nishant,Brijesh Sharma,Brijesh Sharma,Rajasthan Royals,11,after,51.0
Nishant,Washington Sundar,Washington Sundar,Gujarat Titans,11,after,73.0
Om,Jos Buttler,JC Buttler,Gujarat Titans,11,after,30.0
Om,Mohammed Siraj,Mohammed Siraj,Gujarat Titans,11,after,23.0
Om,Yashasvi Jaiswal,YBK Jaiswal,Rajasthan Royals,11,after,15.0
Prabhanjan,Donovan Ferreira,D Ferreira,Rajasthan Royals,11,after,17.0
Prabhanjan,Rashid Khan,Rashid Khan,Gujarat Titans,11,after,144.0
Prabhanjan,Sai Sudharsan,B Sai Sudharsan,Gujarat Titans,11,after,81.0
Sailesh,Kagiso Rabada,K Rabada,Gujarat Titans,11,after,52.0
Vaibhav,Shubman Gill,Shubman Gill,Gujarat Titans,11,after,125.0
Vaibhav,Vaibhav Sooryavanshi,V Suryavanshi,Rajasthan Royals,11,after,59.0
Vamsi,Jason Holder,JO Holder,Gujarat Titans,11,after,105.0
Vamsi,Jofra Archer,JC Archer,Rajasthan Royals,11,after,12.0
Vamsi,Shimron Hetmyer,SO Hetmyer,Rajasthan Royals,11,after,11.0
