match_number,match_date,team_name,team_game_number,player_name,points
53,2026-05-10,Chennai Super Kings,11,A Kamboj,64.0
53,2026-05-10,Chennai Super Kings,11,AJ Hosein,-2.0
53,2026-05-10,Chennai Super Kings,11,D Brevis,35.0
53,2026-05-10,Chennai Super Kings,11,J Overton,91.0
53,2026-05-10,Chennai Super Kings,11,Kartik Sharma,25.0
53,2026-05-10,Chennai Super Kings,11,Mukesh Choudhary,0.0
53,2026-05-10,Chennai Super Kings,11,Noor Ahmad,33.0
53,2026-05-10,Chennai Super Kings,11,PR Veer,27.0
53,2026-05-10,Chennai Super Kings,11,RD Gaikwad,61.0
53,2026-05-10,Chennai Super Kings,11,S Dube,23.0
53,2026-05-10,Chennai Super Kings,11,SN Khan,8.0
53,2026-05-10,Chennai Super Kings,11,SV Samson,59.0
53,2026-05-10,Chennai Super Kings,11,Urvil Patel,109.0
53,2026-05-10,Lucknow Super Giants,11,AK Markram,10.0
53,2026-05-10,Lucknow Super Giants,11,Akshat Raghuwanshi,31.0
53,2026-05-10,Lucknow Super Giants,11,Avesh Khan,35.0
53,2026-05-10,Lucknow Super Giants,11,DS Rathi,66.0
53,2026-05-10,Lucknow Super Giants,11,Himmat Singh,26.0
53,2026-05-10,Lucknow Super Giants,11,JP Inglis,125.0
53,2026-05-10,Lucknow Super Giants,11,MR Marsh,16.0
53,2026-05-10,Lucknow Super Giants,11,Mohammed Shami,2.0
53,2026-05-10,Lucknow Super Giants,11,N Pooran,5.0
53,2026-05-10,Lucknow Super Giants,11,Prince Yadav,4.0
53,2026-05-10,Lucknow Super Giants,11,RR Pant,21.0
53,2026-05-10,Lucknow Super Giants,11,Shahbaz Ahmed,122.0
